site,name,country,sar_avail_pct,sar_up_seconds,sar_down_seconds,dcups_avail_pct,dcups_up_seconds,dcups_down_seconds,orion_active_pct,orion_avg_bytes_per_s,orion_max_bytes_per_s
ATFS,ATFS0xAUT,AUT,98.958,2558520,26940,,,,0.227,0,0
ATGD,ATGD0xAUT,AUT,100.000,2585460,0,,,,0.039,0,0
ATHB,ATHB0xAUT,AUT,100.000,2585460,0,,,,0.009,0,0
ATHL,ATHL0xAUT,AUT,100.000,2585460,0,,,,0.009,0,0
ATJB,ATJB0xAUT,AUT,100.000,2585460,0,,,,0.037,0,0
ATKA,ATKA0xAUT,AUT,100.000,2585460,0,,,,0.037,0,0
BGBL,BGBL0xBGR,BGR,100.000,2585460,0,100.000,2588760,0,0.000,0,0
BGBO,BGBO0xBGR,BGR,59.720,1544040,1041420,97.444,1505400,39480,0.058,0,0
BGLO,BGLO0xBGR,BGR,100.000,2585460,0,100.000,2588520,0,0.009,0,0
BGPV,BGPV0xBGR,BGR,100.000,2585460,0,100.000,2588100,0,0.009,0,0
BGVI,BGVI0xBGR,BGR,100.000,2585460,0,100.000,2588640,0,0.009,0,0
BGVN,BGVN0xBGR,BGR,100.000,2585460,0,100.000,2587380,0,0.009,0,0
CZOL,CZOL0xCZE,CZE,100.000,2585460,0,100.000,2431800,0,0.202,0,0
CZPA,CZPA0xCZE,CZE,100.000,2585460,0,100.000,532980,0,2.228,0,0
DNAB,DNAB0xDNK,DNK,100.000,2585460,0,,,,0.000,0,0
DNBR,DNBR0xDNK,DNK,100.000,2585460,0,,,,0.000,0,0
DNHS,DNHS0xDNK,DNK,100.000,2585460,0,,,,0.000,0,0
DNSO,DNSO0xDNK,DNK,100.000,2585460,0,,,,0.000,0,0
DTBA,DTBA0xDEU,DEU,100.000,2585460,0,,,,0.000,0,0
DTBN,DTBN0xDEU,DEU,100.000,2585460,0,,,,0.019,0,0
DTBR,DTBR0xDEU,DEU,100.000,2585460,0,,,,0.000,0,0
DTD2,DTD20xDEU,DEU,0.000,0,2585460,,,,,,
DTDD,DTDD0xDEU,DEU,100.000,2585460,0,,,,0.000,0,0
DTDT,DTDT0xDEU,DEU,100.000,2585460,0,100.000,2589480,0,,,
DTFB,DTFB0xDEU,DEU,100.000,2585460,0,,,,0.000,0,0
DTGB,DTGB0xDEU,DEU,100.000,2585460,0,,,,0.000,0,0
DTHL,DTHL0xDEU,DEU,100.000,2585460,0,,,,0.000,0,0
DTHR,DTHR0xDEU,DEU,100.000,2585460,0,,,,0.028,0,0
DTHT,DTHT0xDEU,DEU,100.000,2585460,0,,,,0.000,0,0
DTIF,DTIF0xDEU,DEU,100.000,2585460,0,,,,0.000,0,0
DTKM,DTKM0xDEU,DEU,100.000,2585460,0,,,,0.000,0,0
DTMB,DTMB0xDEU,DEU,100.000,2585460,0,,,,0.000,0,0
DTMH,DTMH0xDEU,DEU,100.000,2585460,0,,,,0.000,0,0
DTND,DTND0xDEU,DEU,99.974,2584800,660,,,,0.000,0,0
DTOB,DTOB0xDEU,DEU,100.000,2585460,0,,,,0.000,0,0
DTOS,DTOS0xDEU,DEU,99.977,2584860,600,,,,0.000,0,0
DTPW,DTPW0xDEU,DEU,100.000,2585460,0,,,,0.000,0,0
DTSW,DTSW0xDEU,DEU,100.000,2585460,0,,,,0.000,0,0
DTVD,DTVD0xDEU,DEU,100.000,2585460,0,,,,0.000,0,0
DTVR,DTVR0xDEU,DEU,99.977,2584860,600,,,,0.000,0,0
DTWL,DTWL0xDEU,DEU,100.000,2585460,0,,,,0.000,0,0
DTWR,DTWR0xDEU,DEU,100.000,2585460,0,,,,0.000,0,0
DTZU,DTZU0xDEU,DEU,100.000,2585460,0,,,,0.000,0,0
ESAC,ESAC0xESP,ESP,100.000,2585460,0,100.000,2588760,0,0.019,0,0
ESAM,ESAM0xESP,ESP,100.000,2585460,0,99.666,2578140,8640,0.000,0,0
ESBN,ESBN0xESP,ESP,99.949,2584140,1320,100.000,2589120,0,0.028,0,0
ESCB,ESCB0xESP,ESP,100.000,2585460,0,100.000,2588520,0,0.000,0,0
ESCD,ESCD0xESP,ESP,100.000,2585460,0,100.000,2587380,0,0.000,0,0
ESCM,ESCM0xESP,ESP,100.000,2585460,0,100.000,2590680,0,0.074,0,0
ESCO,ESCO0xESP,ESP,100.000,2585460,0,100.000,2589180,0,0.009,0,0
