site,name,country,region,sar_avail_pct,sar_up_seconds,sar_down_seconds,sar_missing_seconds
ATFS,ATFS0xAUT,AUT,EU,100.000,75000,0,11400
ATGD,ATGD0xAUT,AUT,EU,100.000,75000,0,11400
ATHB,ATHB0xAUT,AUT,EU,100.000,75000,0,11400
ATHL,ATHL0xAUT,AUT,EU,100.000,75000,0,11400
ATJB,ATJB0xAUT,AUT,EU,100.000,75000,0,11400
ATKA,ATKA0xAUT,AUT,EU,100.000,75000,0,11400
BGBL,BGBL0xBGR,BGR,EU,99.120,74340,660,11400
BGBO,BGBO0xBGR,BGR,EU,100.000,75000,0,11400
BGLO,BGLO0xBGR,BGR,EU,100.000,75000,0,11400
BGPV,BGPV0xBGR,BGR,EU,100.000,75000,0,11400
BGVI,BGVI0xBGR,BGR,EU,100.000,75000,0,11400
BGVN,BGVN0xBGR,BGR,EU,100.000,75000,0,11400
CZOL,CZOL0xCZE,CZE,EU,100.000,75000,0,11400
CZPA,CZPA0xCZE,CZE,EU,100.000,75000,0,11400
DNAB,DNAB0xDNK,DNK,EU,100.000,75000,0,11400
DNBR,DNBR0xDNK,DNK,EU,100.000,75000,0,11400
DNHS,DNHS0xDNK,DNK,EU,100.000,75000,0,11400
DNSO,DNSO0xDNK,DNK,EU,100.000,75000,0,11400
DTBA,DTBA0xDEU,DEU,EU,100.000,75000,0,11400
DTBN,DTBN0xDEU,DEU,EU,100.000,75000,0,11400
DTBR,DTBR0xDEU,DEU,EU,100.000,75000,0,11400
DTD2,DTD20xDEU,DEU,EU,0.000,0,75000,11400
DTDD,DTDD0xDEU,DEU,EU,100.000,75000,0,11400
DTDT,DTDT0xDEU,DEU,EU,100.000,75000,0,11400
DTFB,DTFB0xDEU,DEU,EU,100.000,75000,0,11400
DTGB,DTGB0xDEU,DEU,EU,100.000,75000,0,11400
DTHL,DTHL0xDEU,DEU,EU,100.000,75000,0,11400
DTHR,DTHR0xDEU,DEU,EU,100.000,75000,0,11400
DTHT,DTHT0xDEU,DEU,EU,100.000,75000,0,11400
DTIF,DTIF0xDEU,DEU,EU,100.000,75000,0,11400
DTKM,DTKM0xDEU,DEU,EU,100.000,75000,0,11400
DTMB,DTMB0xDEU,DEU,EU,100.000,75000,0,11400
DTMH,DTMH0xDEU,DEU,EU,100.000,75000,0,11400
DTND,DTND0xDEU,DEU,EU,100.000,75000,0,11400
DTOB,DTOB0xDEU,DEU,EU,100.000,75000,0,11400
DTOS,DTOS0xDEU,DEU,EU,100.000,75000,0,11400
DTPW,DTPW0xDEU,DEU,EU,100.000,75000,0,11400
DTSW,DTSW0xDEU,DEU,EU,100.000,75000,0,11400
DTVD,DTVD0xDEU,DEU,EU,100.000,75000,0,11400
DTVR,DTVR0xDEU,DEU,EU,100.000,75000,0,11400
DTWL,DTWL0xDEU,DEU,EU,100.000,75000,0,11400
DTWR,DTWR0xDEU,DEU,EU,100.000,75000,0,11400
DTZU,DTZU0xDEU,DEU,EU,100.000,75000,0,11400
ESAC,ESAC0xESP,ESP,EU,100.000,75000,0,11400
ESBN,ESBN0xESP,ESP,EU,100.000,75000,0,11400
ESCB,ESCB0xESP,ESP,EU,100.000,75000,0,11400
ESCD,ESCD0xESP,ESP,EU,100.000,75000,0,11400
ESCM,ESCM0xESP,ESP,EU,100.000,75000,0,11400
ESCO,ESCO0xESP,ESP,EU,100.000,75000,0,11400
ESCU,ESCU0xESP,ESP,EU,100.000,75000,0,11400
ESEI,ESEI0xESP,ESP,EU,100.000,75000,0,11400
ESGC,ESGC0xESP,ESP,EU,100.000,75000,0,11400
ESGU,ESGU0xESP,ESP,EU,100.000,75000,0,11400
ESHU,ESHU0xESP,ESP,EU,99.200,74400,600,11400
ESME,ESME0xESP,ESP,EU,100.000,75000,0,11400
ESMG,ESMG0xESP,ESP,EU,100.000,75000,0,11400
ESML,ESML0xESP,ESP,EU,100.000,75000,0,11400
ESMR,ESMR0xESP,ESP,EU,100.000,75000,0,11400
ESMU,ESMU0xESP,ESP,EU,100.000,75000,0,11400
ESMZ,ESMZ0xESP,ESP,EU,100.000,75000,0,11400
ESNM,ESNM0xESP,ESP,EU,100.000,75000,0,11400
ESOV,ESOV0xESP,ESP,EU,100.000,75000,0,11400
ESPI,ESPI0xESP,ESP,EU,100.000,75000,0,11400
ESSC,ESSC0xESP,ESP,EU,100.000,75000,0,11400
ESSE,ESSE0xESP,ESP,EU,100.000,75000,0,11400
ESTA,ESTA0xESP,ESP,EU,100.000,75000,0,11400
ESVA,ESVA0xESP,ESP,EU,92.400,69300,5700,11400
ESVI,ESVI0xESP,ESP,EU,100.000,75000,0,11400
ESZA,ESZA0xESP,ESP,EU,100.000,75000,0,11400
FIEK,FIEK0xFIN,FIN,EU,100.000,75000,0,11400
FIHA,FIHA0xFIN,FIN,EU,100.000,75000,0,11400
FIII,FIII0xFIN,FIN,EU,100.000,75000,0,11400
FIIV,FIIV0xFIN,FIN,EU,100.000,75000,0,11400
FIJM,FIJM0xFIN,FIN,EU,0.000,0,75000,11400
FIJO,FIJO0xFIN,FIN,EU,100.000,75000,0,11400
FIKL,FIKL0xFIN,FIN,EU,100.000,75000,0,11400
FIKM,FIKM0xFIN,FIN,EU,100.000,75000,0,11400
FILA,FILA0xFIN,FIN,EU,100.000,75000,0,11400
FILV,FILV0xFIN,FIN,EU,100.000,75000,0,11400
FIMU,FIMU0xFIN,FIN,EU,100.000,75000,0,11400
FINA,FINA0xFIN,FIN,EU,100.000,75000,0,11400
FISU,FISU0xFIN,FIN,EU,100.000,75000,0,11400
FITA,FITA0xFIN,FIN,EU,100.000,75000,0,11400
FIUU,FIUU0xFIN,FIN,EU,100.000,75000,0,11400
FRAC,FRAC0xFRA,FRA,EU,100.000,75000,0,11400
FRAR,FRAR0xFRA,FRA,EU,100.000,75000,0,11400
FRBD,FRBD0xFRA,FRA,EU,100.000,75000,0,11400
FRBE,FRBE0xFRA,FRA,EU,100.000,75000,0,11400
FRBY,FRBY0xFRA,FRA,EU,100.000,75000,0,11400
FRCB,FRCB0xFRA,FRA,EU,100.000,75000,0,11400
FRCH,FRCH0xFRA,FRA,EU,100.000,75000,0,11400
FRCO,FRCO0xFRA,FRA,EU,100.000,75000,0,11400
FRDI,FRDI0xFRA,FRA,EU,100.000,75000,0,11400
FRDL,FRDL0xFRA,FRA,EU,100.000,75000,0,11400
FRDU,FRDU0xFRA,FRA,EU,100.000,75000,0,11400
FRGE,FRGE0xFRA,FRA,EU,100.000,75000,0,11400
FRHR,FRHR0xFRA,FRA,EU,100.000,75000,0,11400
FRHV,FRHV0xFRA,FRA,EU,100.000,75000,0,11400
FRLA,FRLA0xFRA,FRA,EU,100.000,75000,0,11400
FRLM,FRLM0xFRA,FRA,EU,100.000,75000,0,11400
FRLO,FRLO0xFRA,FRA,EU,100.000,75000,0,11400
FRMC,FRMC0xFRA,FRA,EU,100.000,75000,0,11400
FRMG,FRMG0xFRA,FRA,EU,0.000,0,75000,11400
