site,name,country,region,sar_avail_pct,sar_up_seconds,sar_down_seconds,sar_missing_seconds
ATFS,ATFS0xAUT,AUT,EU,98.958,2558520,26940,8040
ATGD,ATGD0xAUT,AUT,EU,100.000,2585460,0,8040
ATHB,ATHB0xAUT,AUT,EU,100.000,2585460,0,8040
ATHL,ATHL0xAUT,AUT,EU,100.000,2585460,0,8040
ATJB,ATJB0xAUT,AUT,EU,100.000,2585460,0,8040
ATKA,ATKA0xAUT,AUT,EU,100.000,2585460,0,8040
BGBL,BGBL0xBGR,BGR,EU,100.000,2585460,0,8040
BGBO,BGBO0xBGR,BGR,EU,59.720,1544040,1041420,8040
BGLO,BGLO0xBGR,BGR,EU,100.000,2585460,0,8040
BGPV,BGPV0xBGR,BGR,EU,100.000,2585460,0,8040
BGVI,BGVI0xBGR,BGR,EU,100.000,2585460,0,8040
BGVN,BGVN0xBGR,BGR,EU,100.000,2585460,0,8040
CZOL,CZOL0xCZE,CZE,EU,100.000,2585460,0,8040
CZPA,CZPA0xCZE,CZE,EU,100.000,2585460,0,8040
DNAB,DNAB0xDNK,DNK,EU,100.000,2585460,0,8040
DNBR,DNBR0xDNK,DNK,EU,100.000,2585460,0,8040
DNHS,DNHS0xDNK,DNK,EU,100.000,2585460,0,8040
DNSO,DNSO0xDNK,DNK,EU,100.000,2585460,0,8040
DTBA,DTBA0xDEU,DEU,EU,100.000,2585460,0,8040
DTBN,DTBN0xDEU,DEU,EU,100.000,2585460,0,8040
DTBR,DTBR0xDEU,DEU,EU,100.000,2585460,0,8040
DTD2,DTD20xDEU,DEU,EU,0.000,0,2585460,8040
DTDD,DTDD0xDEU,DEU,EU,100.000,2585460,0,8040
DTDT,DTDT0xDEU,DEU,EU,100.000,2585460,0,8040
DTFB,DTFB0xDEU,DEU,EU,100.000,2585460,0,8040
DTGB,DTGB0xDEU,DEU,EU,100.000,2585460,0,8040
DTHL,DTHL0xDEU,DEU,EU,100.000,2585460,0,8040
DTHR,DTHR0xDEU,DEU,EU,100.000,2585460,0,8040
DTHT,DTHT0xDEU,DEU,EU,100.000,2585460,0,8040
DTIF,DTIF0xDEU,DEU,EU,100.000,2585460,0,8040
DTKM,DTKM0xDEU,DEU,EU,100.000,2585460,0,8040
DTMB,DTMB0xDEU,DEU,EU,100.000,2585460,0,8040
DTMH,DTMH0xDEU,DEU,EU,100.000,2585460,0,8040
DTND,DTND0xDEU,DEU,EU,99.974,2584800,660,8040
DTOB,DTOB0xDEU,DEU,EU,100.000,2585460,0,8040
DTOS,DTOS0xDEU,DEU,EU,99.977,2584860,600,8040
DTPW,DTPW0xDEU,DEU,EU,100.000,2585460,0,8040
DTSW,DTSW0xDEU,DEU,EU,100.000,2585460,0,8040
DTVD,DTVD0xDEU,DEU,EU,100.000,2585460,0,8040
DTVR,DTVR0xDEU,DEU,EU,99.977,2584860,600,8040
DTWL,DTWL0xDEU,DEU,EU,100.000,2585460,0,8040
DTWR,DTWR0xDEU,DEU,EU,100.000,2585460,0,8040
DTZU,DTZU0xDEU,DEU,EU,100.000,2585460,0,8040
ESAC,ESAC0xESP,ESP,EU,100.000,2585460,0,8040
ESAM,ESAM0xESP,ESP,EU,100.000,2585460,0,8040
ESBN,ESBN0xESP,ESP,EU,99.949,2584140,1320,8040
ESCB,ESCB0xESP,ESP,EU,100.000,2585460,0,8040
ESCD,ESCD0xESP,ESP,EU,100.000,2585460,0,8040
ESCM,ESCM0xESP,ESP,EU,100.000,2585460,0,8040
ESCO,ESCO0xESP,ESP,EU,100.000,2585460,0,8040
ESCU,ESCU0xESP,ESP,EU,100.000,2585460,0,8040
ESEI,ESEI0xESP,ESP,EU,100.000,2585460,0,8040
ESGC,ESGC0xESP,ESP,EU,99.928,2583600,1860,8040
ESGU,ESGU0xESP,ESP,EU,99.575,2574480,10980,8040
ESHU,ESHU0xESP,ESP,EU,100.000,2585460,0,8040
ESME,ESME0xESP,ESP,EU,99.977,2584860,600,8040
ESMG,ESMG0xESP,ESP,EU,100.000,2585460,0,8040
ESML,ESML0xESP,ESP,EU,100.000,2585460,0,8040
ESMR,ESMR0xESP,ESP,EU,100.000,2585460,0,8040
