site,name,country,region,sar_avail_pct,sar_up_seconds,sar_down_seconds,sar_missing_seconds,path_status,path_uptime_seconds,path_downtime_seconds,cellular_uptime_s_estimated,mdm_events,last_mdm_minutes_ago
ATFS,ATFS0xAUT,AUT,EU,100.000,599460,0,5700,outage-no-cellular,599460,0,0,0,
ATGD,ATGD0xAUT,AUT,EU,100.000,599460,0,5700,stable,599460,0,0,0,
ATHB,ATHB0xAUT,AUT,EU,100.000,599460,0,5700,stuck-degraded,599460,0,115200,9,1050
ATHL,ATHL0xAUT,AUT,EU,100.000,599460,0,5700,stable,599460,0,0,0,
ATJB,ATJB0xAUT,AUT,EU,100.000,599460,0,5700,stuck-degraded,599460,0,129600,10,8640
ATKA,ATKA0xAUT,AUT,EU,100.000,599460,0,5700,stuck-degraded,599460,0,129600,10,6969
BGBL,BGBL0xBGR,BGR,EU,98.539,590700,8760,5700,brief-failover,590700,8760,28800,2,3929
BGBO,BGBO0xBGR,BGR,EU,100.000,599460,0,5700,brief-failover,599460,0,28800,2,3436
BGLO,BGLO0xBGR,BGR,EU,100.000,599460,0,5700,outage-no-cellular,599460,0,0,0,
BGPV,BGPV0xBGR,BGR,EU,100.000,599460,0,5700,outage-no-cellular,599460,0,0,0,
BGVI,BGVI0xBGR,BGR,EU,100.000,599460,0,5700,stable,599460,0,0,0,
BGVN,BGVN0xBGR,BGR,EU,100.000,599460,0,5700,outage-no-cellular,599460,0,0,0,
CZOL,CZOL0xCZE,CZE,EU,100.000,599460,0,5700,stable,599460,0,0,0,
CZPA,CZPA0xCZE,CZE,EU,100.000,599460,0,5700,stable,599460,0,0,0,
DNAB,DNAB0xDNK,DNK,EU,100.000,599460,0,5700,outage-no-cellular,599460,0,0,0,
DNBR,DNBR0xDNK,DNK,EU,100.000,599460,0,5700,stable,599460,0,0,0,
DNHS,DNHS0xDNK,DNK,EU,100.000,599460,0,5700,outage-no-cellular,599460,0,0,0,
DNSO,DNSO0xDNK,DNK,EU,100.000,599460,0,5700,outage-no-cellular,599460,0,0,0,
DTBA,DTBA0xDEU,DEU,EU,99.890,598800,660,5700,outage-no-cellular,598800,660,0,0,
DTBN,DTBN0xDEU,DEU,EU,100.000,599460,0,5700,stable,599460,0,0,0,
DTBR,DTBR0xDEU,DEU,EU,100.000,599460,0,5700,outage-no-cellular,599460,0,0,0,
DTD2,DTD20xDEU,DEU,EU,0.000,0,599460,5700,,,,,,
DTDD,DTDD0xDEU,DEU,EU,100.000,599460,0,5700,stable,599460,0,0,0,
DTDT,DTDT0xDEU,DEU,EU,100.000,599460,0,5700,,,,,,
DTFB,DTFB0xDEU,DEU,EU,100.000,599460,0,5700,stable,599460,0,0,0,
DTGB,DTGB0xDEU,DEU,EU,100.000,599460,0,5700,stable,599460,0,0,0,
DTHL,DTHL0xDEU,DEU,EU,100.000,599460,0,5700,stable,599460,0,0,0,
