site,name,country,region,sar_avail_pct,sar_up_seconds,sar_down_seconds,sar_missing_seconds
ATFS,ATFS0xAUT,AUT,EU,100.000,84600,0,1860
ATGD,ATGD0xAUT,AUT,EU,100.000,84600,0,1860
ATHB,ATHB0xAUT,AUT,EU,100.000,84600,0,1860
ATHL,ATHL0xAUT,AUT,EU,100.000,84600,0,1860
ATJB,ATJB0xAUT,AUT,EU,100.000,84600,0,1860
ATKA,ATKA0xAUT,AUT,EU,100.000,84600,0,1860
BGBL,BGBL0xBGR,BGR,EU,100.000,84600,0,1860
BGBO,BGBO0xBGR,BGR,EU,100.000,84600,0,1860
BGLO,BGLO0xBGR,BGR,EU,100.000,84600,0,1860
BGPV,BGPV0xBGR,BGR,EU,100.000,84600,0,1860
BGVI,BGVI0xBGR,BGR,EU,100.000,84600,0,1860
BGVN,BGVN0xBGR,BGR,EU,100.000,84600,0,1860
CZOL,CZOL0xCZE,CZE,EU,100.000,84600,0,1860
CZPA,CZPA0xCZE,CZE,EU,100.000,84600,0,1860
DNAB,DNAB0xDNK,DNK,EU,100.000,84600,0,1860
DNBR,DNBR0xDNK,DNK,EU,100.000,84600,0,1860
DNHS,DNHS0xDNK,DNK,EU,100.000,84600,0,1860
DNSO,DNSO0xDNK,DNK,EU,100.000,84600,0,1860
DTBA,DTBA0xDEU,DEU,EU,100.000,84600,0,1860
DTBN,DTBN0xDEU,DEU,EU,100.000,84600,0,1860
DTBR,DTBR0xDEU,DEU,EU,100.000,84600,0,1860
DTD2,DTD20xDEU,DEU,EU,0.000,0,84600,1860
DTDD,DTDD0xDEU,DEU,EU,100.000,84600,0,1860
DTDT,DTDT0xDEU,DEU,EU,100.000,84600,0,1860
DTFB,DTFB0xDEU,DEU,EU,100.000,84600,0,1860
DTGB,DTGB0xDEU,DEU,EU,100.000,84600,0,1860
DTHL,DTHL0xDEU,DEU,EU,100.000,84600,0,1860
DTHR,DTHR0xDEU,DEU,EU,100.000,84600,0,1860
DTHT,DTHT0xDEU,DEU,EU,100.000,84600,0,1860
DTIF,DTIF0xDEU,DEU,EU,100.000,84600,0,1860
DTKM,DTKM0xDEU,DEU,EU,100.000,84600,0,1860
DTMB,DTMB0xDEU,DEU,EU,100.000,84600,0,1860
DTMH,DTMH0xDEU,DEU,EU,100.000,84600,0,1860
DTND,DTND0xDEU,DEU,EU,100.000,84600,0,1860
DTOB,DTOB0xDEU,DEU,EU,100.000,84600,0,1860
DTOS,DTOS0xDEU,DEU,EU,100.000,84600,0,1860
DTPW,DTPW0xDEU,DEU,EU,100.000,84600,0,1860
DTSW,DTSW0xDEU,DEU,EU,100.000,84600,0,1860
DTVD,DTVD0xDEU,DEU,EU,100.000,84600,0,1860
DTVR,DTVR0xDEU,DEU,EU,100.000,84600,0,1860
DTWL,DTWL0xDEU,DEU,EU,100.000,84600,0,1860
DTWR,DTWR0xDEU,DEU,EU,100.000,84600,0,1860
DTZU,DTZU0xDEU,DEU,EU,100.000,84600,0,1860
ESAC,ESAC0xESP,ESP,EU,100.000,84600,0,1860
ESBN,ESBN0xESP,ESP,EU,100.000,84600,0,1860
ESCB,ESCB0xESP,ESP,EU,100.000,84600,0,1860
ESCD,ESCD0xESP,ESP,EU,100.000,84600,0,1860
ESCM,ESCM0xESP,ESP,EU,100.000,84600,0,1860
ESCO,ESCO0xESP,ESP,EU,100.000,84600,0,1860
ESCU,ESCU0xESP,ESP,EU,100.000,84600,0,1860
ESEI,ESEI0xESP,ESP,EU,100.000,84600,0,1860
ESGC,ESGC0xESP,ESP,EU,100.000,84600,0,1860
ESGU,ESGU0xESP,ESP,EU,100.000,84600,0,1860
ESHU,ESHU0xESP,ESP,EU,100.000,84600,0,1860
ESME,ESME0xESP,ESP,EU,100.000,84600,0,1860
ESMG,ESMG0xESP,ESP,EU,100.000,84600,0,1860
ESML,ESML0xESP,ESP,EU,100.000,84600,0,1860
ESMR,ESMR0xESP,ESP,EU,100.000,84600,0,1860
ESMU,ESMU0xESP,ESP,EU,100.000,84600,0,1860
ESMZ,ESMZ0xESP,ESP,EU,100.000,84600,0,1860
ESNM,ESNM0xESP,ESP,EU,100.000,84600,0,1860
ESOV,ESOV0xESP,ESP,EU,100.000,84600,0,1860
ESPI,ESPI0xESP,ESP,EU,100.000,84600,0,1860
ESSC,ESSC0xESP,ESP,EU,100.000,84600,0,1860
ESSE,ESSE0xESP,ESP,EU,100.000,84600,0,1860
ESTA,ESTA0xESP,ESP,EU,100.000,84600,0,1860
ESVA,ESVA0xESP,ESP,EU,76.525,64740,19860,1860
ESVI,ESVI0xESP,ESP,EU,100.000,84600,0,1860
ESZA,ESZA0xESP,ESP,EU,100.000,84600,0,1860
FIEK,FIEK0xFIN,FIN,EU,100.000,84600,0,1860
FIHA,FIHA0xFIN,FIN,EU,100.000,84600,0,1860
FIII,FIII0xFIN,FIN,EU,100.000,84600,0,1860
FIIV,FIIV0xFIN,FIN,EU,100.000,84600,0,1860
FIJM,FIJM0xFIN,FIN,EU,0.000,0,84600,1860
FIJO,FIJO0xFIN,FIN,EU,100.000,84600,0,1860
FIKL,FIKL0xFIN,FIN,EU,100.000,84600,0,1860
FIKM,FIKM0xFIN,FIN,EU,100.000,84600,0,1860
FILA,FILA0xFIN,FIN,EU,100.000,84600,0,1860
FILV,FILV0xFIN,FIN,EU,100.000,84600,0,1860
FIMU,FIMU0xFIN,FIN,EU,100.000,84600,0,1860
FINA,FINA0xFIN,FIN,EU,100.000,84600,0,1860
FISU,FISU0xFIN,FIN,EU,100.000,84600,0,1860
FITA,FITA0xFIN,FIN,EU,100.000,84600,0,1860
FIUU,FIUU0xFIN,FIN,EU,100.000,84600,0,1860
FRAC,FRAC0xFRA,FRA,EU,100.000,84600,0,1860
FRAR,FRAR0xFRA,FRA,EU,100.000,84600,0,1860
