site,name,country,region,sar_avail_pct,sar_up_seconds,sar_down_seconds,sar_missing_seconds
ATFS,ATFS0xAUT,AUT,EU,99.977,2662920,600,16620
ATGD,ATGD0xAUT,AUT,EU,99.977,2662920,600,16620
ATHB,ATHB0xAUT,AUT,EU,100.000,2663520,0,16620
ATHL,ATHL0xAUT,AUT,EU,99.977,2662920,600,16620
ATJB,ATJB0xAUT,AUT,EU,99.977,2662920,600,16620
ATKA,ATKA0xAUT,AUT,EU,100.000,2663520,0,16620
BGBL,BGBL0xBGR,BGR,EU,99.399,2647500,16020,16620
BGBO,BGBO0xBGR,BGR,EU,99.977,2662920,600,16620
BGLO,BGLO0xBGR,BGR,EU,100.000,2663520,0,16620
BGPV,BGPV0xBGR,BGR,EU,100.000,2663520,0,16620
BGVI,BGVI0xBGR,BGR,EU,100.000,2663520,0,16620
BGVN,BGVN0xBGR,BGR,EU,100.000,2663520,0,16620
CZOL,CZOL0xCZE,CZE,EU,99.975,2662860,660,16620
CZPA,CZPA0xCZE,CZE,EU,100.000,2663520,0,16620
DNAB,DNAB0xDNK,DNK,EU,99.975,2662860,660,16620
DNBR,DNBR0xDNK,DNK,EU,99.975,2662860,660,16620
DNHS,DNHS0xDNK,DNK,EU,100.000,2663520,0,16620
DNSO,DNSO0xDNK,DNK,EU,100.000,2663520,0,16620
DTBA,DTBA0xDEU,DEU,EU,100.000,2663520,0,16620
DTBN,DTBN0xDEU,DEU,EU,100.000,2663520,0,16620
DTBR,DTBR0xDEU,DEU,EU,100.000,2663520,0,16620
DTD2,DTD20xDEU,DEU,EU,0.000,0,2663520,16620
DTDD,DTDD0xDEU,DEU,EU,99.977,2662920,600,16620
DTDT,DTDT0xDEU,DEU,EU,100.000,2663520,0,16620
DTFB,DTFB0xDEU,DEU,EU,100.000,2663520,0,16620
DTGB,DTGB0xDEU,DEU,EU,100.000,2663520,0,16620
DTHL,DTHL0xDEU,DEU,EU,100.000,2663520,0,16620
DTHR,DTHR0xDEU,DEU,EU,99.975,2662860,660,16620
DTHT,DTHT0xDEU,DEU,EU,100.000,2663520,0,16620
DTIF,DTIF0xDEU,DEU,EU,100.000,2663520,0,16620
DTKM,DTKM0xDEU,DEU,EU,100.000,2663520,0,16620
DTMB,DTMB0xDEU,DEU,EU,100.000,2663520,0,16620
DTMH,DTMH0xDEU,DEU,EU,100.000,2663520,0,16620
DTND,DTND0xDEU,DEU,EU,100.000,2663520,0,16620
DTOB,DTOB0xDEU,DEU,EU,100.000,2663520,0,16620
DTOS,DTOS0xDEU,DEU,EU,99.977,2662920,600,16620
DTPW,DTPW0xDEU,DEU,EU,100.000,2663520,0,16620
DTSW,DTSW0xDEU,DEU,EU,100.000,2663520,0,16620
DTVD,DTVD0xDEU,DEU,EU,100.000,2663520,0,16620
DTVR,DTVR0xDEU,DEU,EU,100.000,2663520,0,16620
DTWL,DTWL0xDEU,DEU,EU,100.000,2663520,0,16620
DTWR,DTWR0xDEU,DEU,EU,100.000,2663520,0,16620
DTZU,DTZU0xDEU,DEU,EU,100.000,2663520,0,16620
ESAC,ESAC0xESP,ESP,EU,100.000,2663520,0,16620
ESAM,ESAM0xESP,ESP,EU,92.294,2174400,181560,64800
ESBN,ESBN0xESP,ESP,EU,99.977,2662920,600,16620
ESCB,ESCB0xESP,ESP,EU,99.977,2662920,600,16620
ESCD,ESCD0xESP,ESP,EU,100.000,2663520,0,16620
ESCM,ESCM0xESP,ESP,EU,100.000,2663520,0,16620
ESCO,ESCO0xESP,ESP,EU,99.930,2661660,1860,16620
ESCU,ESCU0xESP,ESP,EU,100.000,2663520,0,16620
ESEI,ESEI0xESP,ESP,EU,100.000,2663520,0,16620
ESGC,ESGC0xESP,ESP,EU,100.000,2663520,0,16620
ESGU,ESGU0xESP,ESP,EU,99.689,2655240,8280,16620
ESHU,ESHU0xESP,ESP,EU,99.977,2662920,600,16620
ESME,ESME0xESP,ESP,EU,100.000,2663520,0,16620
ESMG,ESMG0xESP,ESP,EU,100.000,2663520,0,16620
ESML,ESML0xESP,ESP,EU,100.000,2663520,0,16620
ESMR,ESMR0xESP,ESP,EU,100.000,2663520,0,16620
ESMU,ESMU0xESP,ESP,EU,100.000,2663520,0,16620
ESMZ,ESMZ0xESP,ESP,EU,100.000,2663520,0,16620
ESNM,ESNM0xESP,ESP,EU,99.953,2662260,1260,16620
ESOV,ESOV0xESP,ESP,EU,100.000,2663520,0,16620
ESPI,ESPI0xESP,ESP,EU,100.000,381780,0,50400
ESSC,ESSC0xESP,ESP,EU,100.000,2663520,0,16620
ESSE,ESSE0xESP,ESP,EU,99.977,2662920,600,16620
ESTA,ESTA0xESP,ESP,EU,99.975,2662860,660,16620
ESVA,ESVA0xESP,ESP,EU,92.717,2469540,193980,16620
ESVI,ESVI0xESP,ESP,EU,100.000,2663520,0,16620
ESZA,ESZA0xESP,ESP,EU,100.000,2663520,0,16620
FIEK,FIEK0xFIN,FIN,EU,100.000,2663520,0,16620
FIHA,FIHA0xFIN,FIN,EU,100.000,2663520,0,16620
FIII,FIII0xFIN,FIN,EU,100.000,2663520,0,16620
FIIV,FIIV0xFIN,FIN,EU,100.000,2663520,0,16620
FIJM,FIJM0xFIN,FIN,EU,0.000,0,2663520,16620
FIJO,FIJO0xFIN,FIN,EU,100.000,2663520,0,16620
FIKL,FIKL0xFIN,FIN,EU,100.000,2663520,0,16620
FIKM,FIKM0xFIN,FIN,EU,100.000,2663520,0,16620
FILA,FILA0xFIN,FIN,EU,100.000,2663520,0,16620
FILV,FILV0xFIN,FIN,EU,100.000,2663520,0,16620
FIMU,FIMU0xFIN,FIN,EU,100.000,2663520,0,16620
FINA,FINA0xFIN,FIN,EU,100.000,2663520,0,16620
FISU,FISU0xFIN,FIN,EU,100.000,2663520,0,16620
FITA,FITA0xFIN,FIN,EU,100.000,2663520,0,16620
FIUU,FIUU0xFIN,FIN,EU,100.000,2663520,0,16620
FRAC,FRAC0xFRA,FRA,EU,100.000,2663520,0,16620
FRAR,FRAR0xFRA,FRA,EU,100.000,2663520,0,16620
FRBD,FRBD0xFRA,FRA,EU,100.000,2663520,0,16620
FRBE,FRBE0xFRA,FRA,EU,94.438,2515380,148140,16620
FRBY,FRBY0xFRA,FRA,EU,100.000,2663520,0,16620
FRCB,FRCB0xFRA,FRA,EU,100.000,2663520,0,16620
FRCH,FRCH0xFRA,FRA,EU,98.211,2615880,47640,16620
FRCO,FRCO0xFRA,FRA,EU,100.000,2663520,0,16620
FRDI,FRDI0xFRA,FRA,EU,100.000,2663520,0,16620
FRDL,FRDL0xFRA,FRA,EU,100.000,2663520,0,16620
FRDU,FRDU0xFRA,FRA,EU,99.975,2662860,660,16620
FRGE,FRGE0xFRA,FRA,EU,99.953,2662260,1260,16620
FRHR,FRHR0xFRA,FRA,EU,100.000,2663520,0,16620
FRHV,FRHV0xFRA,FRA,EU,99.975,2662860,660,16620
FRLA,FRLA0xFRA,FRA,EU,100.000,2663520,0,16620
FRLM,FRLM0xFRA,FRA,EU,99.977,2662920,600,16620
FRLO,FRLO0xFRA,FRA,EU,100.000,2663520,0,16620
FRMC,FRMC0xFRA,FRA,EU,99.977,2662920,600,16620
FRMG,FRMG0xFRA,FRA,EU,82.814,2205780,457740,16620
