site,name,country,region,sar_avail_pct,sar_up_seconds,sar_down_seconds,sar_missing_seconds
ATFS,ATFS0xAUT,AUT,EU,100.000,600720,0,4380
ATGD,ATGD0xAUT,AUT,EU,100.000,600720,0,4380
ATHB,ATHB0xAUT,AUT,EU,100.000,600720,0,4380
ATHL,ATHL0xAUT,AUT,EU,100.000,600720,0,4380
ATJB,ATJB0xAUT,AUT,EU,100.000,600720,0,4380
ATKA,ATKA0xAUT,AUT,EU,100.000,600720,0,4380
BGBL,BGBL0xBGR,BGR,EU,100.000,600720,0,4380
BGBO,BGBO0xBGR,BGR,EU,100.000,600720,0,4380
BGLO,BGLO0xBGR,BGR,EU,100.000,600720,0,4380
BGPV,BGPV0xBGR,BGR,EU,100.000,600720,0,4380
BGVI,BGVI0xBGR,BGR,EU,100.000,600720,0,4380
BGVN,BGVN0xBGR,BGR,EU,100.000,600720,0,4380
CZOL,CZOL0xCZE,CZE,EU,100.000,600720,0,4380
CZPA,CZPA0xCZE,CZE,EU,100.000,600720,0,4380
DNAB,DNAB0xDNK,DNK,EU,100.000,600720,0,4380
DNBR,DNBR0xDNK,DNK,EU,100.000,600720,0,4380
DNHS,DNHS0xDNK,DNK,EU,100.000,600720,0,4380
DNSO,DNSO0xDNK,DNK,EU,100.000,600720,0,4380
DTBA,DTBA0xDEU,DEU,EU,100.000,600720,0,4380
DTBN,DTBN0xDEU,DEU,EU,100.000,600720,0,4380
DTBR,DTBR0xDEU,DEU,EU,100.000,600720,0,4380
DTD2,DTD20xDEU,DEU,EU,0.000,0,600720,4380
DTDD,DTDD0xDEU,DEU,EU,100.000,600720,0,4380
DTDT,DTDT0xDEU,DEU,EU,100.000,600720,0,4380
DTFB,DTFB0xDEU,DEU,EU,100.000,600720,0,4380
DTGB,DTGB0xDEU,DEU,EU,100.000,600720,0,4380
DTHL,DTHL0xDEU,DEU,EU,100.000,600720,0,4380
DTHR,DTHR0xDEU,DEU,EU,100.000,600720,0,4380
DTHT,DTHT0xDEU,DEU,EU,100.000,600720,0,4380
DTIF,DTIF0xDEU,DEU,EU,100.000,600720,0,4380
DTKM,DTKM0xDEU,DEU,EU,100.000,600720,0,4380
DTMB,DTMB0xDEU,DEU,EU,100.000,600720,0,4380
DTMH,DTMH0xDEU,DEU,EU,100.000,600720,0,4380
DTND,DTND0xDEU,DEU,EU,100.000,600720,0,4380
DTOB,DTOB0xDEU,DEU,EU,100.000,600720,0,4380
DTOS,DTOS0xDEU,DEU,EU,100.000,600720,0,4380
DTPW,DTPW0xDEU,DEU,EU,100.000,600720,0,4380
DTSW,DTSW0xDEU,DEU,EU,100.000,600720,0,4380
DTVD,DTVD0xDEU,DEU,EU,100.000,600720,0,4380
DTVR,DTVR0xDEU,DEU,EU,100.000,600720,0,4380
DTWL,DTWL0xDEU,DEU,EU,100.000,600720,0,4380
DTWR,DTWR0xDEU,DEU,EU,100.000,600720,0,4380
DTZU,DTZU0xDEU,DEU,EU,100.000,600720,0,4380
ESAC,ESAC0xESP,ESP,EU,100.000,600720,0,4380
