site,name,country,sar_avail_pct,sar_up_seconds,sar_down_seconds,dcups_avail_pct,dcups_up_seconds,dcups_down_seconds,orion_active_pct,orion_avg_bytes_per_s,orion_max_bytes_per_s
DTBA,DTBA0xDEU,DEU,100.000,600540,0,,,,0.000,0,0
DTBN,DTBN0xDEU,DEU,100.000,600540,0,,,,0.000,0,0
DTBR,DTBR0xDEU,DEU,100.000,600540,0,,,,0.000,0,0
DTD2,DTD20xDEU,DEU,0.000,0,600540,,,,,,
DTDD,DTDD0xDEU,DEU,100.000,600540,0,,,,0.000,0,0
DTDT,DTDT0xDEU,DEU,100.000,600540,0,100.000,605220,0,,,
DTFB,DTFB0xDEU,DEU,100.000,600540,0,,,,0.000,0,0
DTGB,DTGB0xDEU,DEU,100.000,600540,0,,,,0.000,0,0
DTHL,DTHL0xDEU,DEU,100.000,600540,0,,,,0.000,0,0
DTHR,DTHR0xDEU,DEU,100.000,600540,0,,,,0.000,0,0
DTHT,DTHT0xDEU,DEU,100.000,600540,0,,,,0.000,0,0
DTIF,DTIF0xDEU,DEU,100.000,600540,0,,,,0.000,0,0
DTKM,DTKM0xDEU,DEU,100.000,600540,0,,,,0.000,0,0
DTMB,DTMB0xDEU,DEU,100.000,600540,0,,,,0.000,0,0
DTMH,DTMH0xDEU,DEU,100.000,600540,0,,,,0.000,0,0
DTND,DTND0xDEU,DEU,100.000,600540,0,,,,0.000,0,0
DTOB,DTOB0xDEU,DEU,100.000,600540,0,,,,0.000,0,0
DTOS,DTOS0xDEU,DEU,100.000,600540,0,,,,0.000,0,0
DTPW,DTPW0xDEU,DEU,100.000,600540,0,,,,0.000,0,0
DTSW,DTSW0xDEU,DEU,100.000,600540,0,,,,0.000,0,0
DTVD,DTVD0xDEU,DEU,100.000,600540,0,,,,0.000,0,0
DTVR,DTVR0xDEU,DEU,100.000,600540,0,,,,0.000,0,0
DTWL,DTWL0xDEU,DEU,100.000,600540,0,,,,0.000,0,0
DTWR,DTWR0xDEU,DEU,100.000,600540,0,,,,0.000,0,0
DTZU,DTZU0xDEU,DEU,100.000,600540,0,,,,0.000,0,0
