site,name,country,region,sar_avail_pct,sar_up_seconds,sar_down_seconds,sar_missing_seconds,path_status,path_uptime_seconds,path_downtime_seconds,cellular_uptime_s_estimated,mdm_events,last_mdm_minutes_ago
KTCR,KTCR0xKOR,KOR,AP,100.000,2576520,0,16980,brief-failover,2576520,0,14400,1,26222
KTG1,KTG10xKOR,KOR,AP,100.000,2576520,0,16980,brief-failover,2576520,0,14400,1,11836
KTG2,KTG20xKOR,KOR,AP,100.000,2576520,0,16980,stable,2576520,0,0,0,
KTGB,KTGB0xKOR,KOR,AP,100.000,2576520,0,16980,brief-failover,2576520,0,14400,1,29160
KTGH,KTGH0xKOR,KOR,AP,100.000,2576520,0,16980,brief-failover,2576520,0,43200,3,26222
KTGJ,KTGJ0xKOR,KOR,AP,100.000,2576520,0,16980,stable,2576520,0,0,0,
KTGN,KTGN0xKOR,KOR,AP,100.000,2576520,0,16980,stable,2576520,0,0,0,
KTGY,KTGY0xKOR,KOR,AP,100.000,2576520,0,16980,stable,2576520,0,0,0,
KTHM,KTHM0xKOR,KOR,AP,100.000,2576520,0,16980,brief-failover,2576520,0,57600,4,38966
KTHS,KTHS0xKOR,KOR,AP,100.000,2576520,0,16980,brief-failover,2576520,0,57600,4,5875
KTHY,KTHY0xKOR,KOR,AP,100.000,2576520,0,16980,stable,2576520,0,0,0,
KTIS,KTIS0xKOR,KOR,AP,100.000,2576520,0,16980,brief-failover,2576520,0,14400,1,30585
KTJJ,KTJJ0xKOR,KOR,AP,100.000,2576520,0,16980,brief-failover,2576520,0,14400,1,17582
KTJP,KTJP0xKOR,KOR,AP,100.000,2576520,0,16980,brief-failover,2576520,0,14400,1,27691
KTSG,KTSG0xKOR,KOR,AP,100.000,2576520,0,16980,brief-failover,2576520,0,14400,1,20476
KTUJ,KTUJ0xKOR,KOR,AP,100.000,2576520,0,16980,brief-failover,2576520,0,28800,2,21297
KTUS,KTUS0xKOR,KOR,AP,100.000,2576520,0,16980,stable,2576520,0,0,0,
KTYG,KTYG0xKOR,KOR,AP,100.000,2576520,0,16980,stable,2576520,0,0,0,
KTYJ,KTYJ0xKOR,KOR,AP,100.000,2576520,0,16980,stable,2576520,0,0,0,
KTYY,KTYY0xKOR,KOR,AP,100.000,2576520,0,16980,stable,2576520,0,0,0,
