site,name,country,region,sar_avail_pct,sar_up_seconds,sar_down_seconds,sar_missing_seconds,path_status,path_uptime_seconds,path_downtime_seconds,cellular_uptime_s_estimated,mdm_events,last_mdm_minutes_ago
TWBS,TWBS0xTWN,TWN,AP,100.000,2576520,0,16980,stable,2576520,0,0,0,
TWDL,TWDL0xTWN,TWN,AP,100.000,2576520,0,16980,stable,2576520,0,0,0,
TWDS,TWDS0xTWN,TWN,AP,100.000,2576520,0,16980,stable,2576520,0,0,0,
TWFL,TWFL0xTWN,TWN,AP,100.000,2576520,0,16980,brief-failover,2576520,0,43200,3,32702
TWFX,TWFX0xTWN,TWN,AP,100.000,2576520,0,16980,stable,2576520,0,0,0,
TWGL,TWGL0xTWN,TWN,AP,100.000,2576520,0,16980,outage-no-cellular,2576520,0,0,0,
TWGY,TWGY0xTWN,TWN,AP,100.000,2576520,0,16980,brief-failover,2576520,0,14400,1,26870
TWHC,TWHC0xTWN,TWN,AP,100.000,2576520,0,16980,stable,2576520,0,0,0,
TWIX,TWIX0xTWN,TWN,AP,99.856,2572800,3720,16980,outage-no-cellular,2572800,3720,0,0,
TWJS,TWJS0xTWN,TWN,AP,100.000,2576520,0,16980,stable,2576520,0,0,0,
TWPH,TWPH0xTWN,TWN,AP,75.467,1944420,632100,16980,brief-failover,1944420,632100,28800,2,40046
TWPL,TWPL0xTWN,TWN,AP,100.000,2576520,0,16980,stable,2576520,0,0,0,
TWPZ,TWPZ0xTWN,TWN,AP,100.000,2576520,0,16980,stable,2576520,0,0,0,
TWTT,TWTT0xTWN,TWN,AP,100.000,2576520,0,16980,stable,2576520,0,0,0,
TWTX,TWTX0xTWN,TWN,AP,100.000,2576520,0,16980,stable,2576520,0,0,0,
TWTY,TWTY0xTWN,TWN,AP,98.037,2525940,50580,16980,brief-failover,2525940,50580,39720,4,35164
TWXT,TWXT0xTWN,TWN,AP,100.000,2576520,0,16980,stable,2576520,0,0,0,
TWZS,TWZS0xTWN,TWN,AP,100.000,2576520,0,16980,brief-failover,2576520,0,28800,2,31017
