site,name,country,region,sar_avail_pct,sar_up_seconds,sar_down_seconds,sar_missing_seconds,path_status,path_uptime_seconds,path_downtime_seconds,cellular_uptime_s_estimated,mdm_events,last_mdm_minutes_ago
KTCR,KTCR0xKOR,KOR,AP,100.000,2663520,0,16620,outage-no-cellular,2663520,0,0,0,
KTG1,KTG10xKOR,KOR,AP,100.000,2663520,0,16620,brief-failover,2663520,0,14400,1,42051
KTG2,KTG20xKOR,KOR,AP,100.000,2663520,0,16620,brief-failover,2663520,0,14400,1,39194
KTGB,KTGB0xKOR,KOR,AP,100.000,2663520,0,16620,brief-failover,2663520,0,14400,1,24778
KTGH,KTGH0xKOR,KOR,AP,100.000,2663520,0,16620,outage-no-cellular,2663520,0,0,0,
KTGJ,KTGJ0xKOR,KOR,AP,100.000,2663520,0,16620,brief-failover,2663520,0,43200,4,24822
KTGN,KTGN0xKOR,KOR,AP,100.000,2663520,0,16620,outage-no-cellular,2663520,0,0,0,
KTGY,KTGY0xKOR,KOR,AP,100.000,2663520,0,16620,outage-no-cellular,2663520,0,0,0,
KTHM,KTHM0xKOR,KOR,AP,100.000,2663520,0,16620,outage-no-cellular,2663520,0,0,0,
KTHS,KTHS0xKOR,KOR,AP,100.000,2663520,0,16620,outage-no-cellular,2663520,0,0,0,
KTHY,KTHY0xKOR,KOR,AP,100.000,2663520,0,16620,outage-no-cellular,2663520,0,0,0,
KTIS,KTIS0xKOR,KOR,AP,100.000,2663520,0,16620,outage-no-cellular,2663520,0,0,0,
KTJJ,KTJJ0xKOR,KOR,AP,100.000,2663520,0,16620,outage-no-cellular,2663520,0,0,0,
KTJP,KTJP0xKOR,KOR,AP,100.000,2663520,0,16620,outage-no-cellular,2663520,0,0,0,
KTSG,KTSG0xKOR,KOR,AP,100.000,2663520,0,16620,outage-no-cellular,2663520,0,0,0,
KTUJ,KTUJ0xKOR,KOR,AP,100.000,2663520,0,16620,outage-no-cellular,2663520,0,0,0,
KTUS,KTUS0xKOR,KOR,AP,100.000,2663520,0,16620,outage-no-cellular,2663520,0,0,0,
KTYG,KTYG0xKOR,KOR,AP,100.000,2663520,0,16620,brief-failover,2663520,0,28800,2,15271
KTYJ,KTYJ0xKOR,KOR,AP,100.000,2663520,0,16620,outage-no-cellular,2663520,0,0,0,
KTYY,KTYY0xKOR,KOR,AP,100.000,2663520,0,16620,brief-failover,2663520,0,14400,1,1747
