site,name,country,region,sar_avail_pct,sar_up_seconds,sar_down_seconds,sar_missing_seconds
ATFS,ATFS0xAUT,AUT,EU,100.000,85080,0,1320
ATGD,ATGD0xAUT,AUT,EU,100.000,85080,0,1320
ATHB,ATHB0xAUT,AUT,EU,100.000,85080,0,1320
ATHL,ATHL0xAUT,AUT,EU,100.000,85080,0,1320
ATJB,ATJB0xAUT,AUT,EU,100.000,85080,0,1320
ATKA,ATKA0xAUT,AUT,EU,100.000,85080,0,1320
BGBL,BGBL0xBGR,BGR,EU,100.000,85080,0,1320
BGBO,BGBO0xBGR,BGR,EU,100.000,85080,0,1320
BGLO,BGLO0xBGR,BGR,EU,100.000,85080,0,1320
BGPV,BGPV0xBGR,BGR,EU,100.000,85080,0,1320
BGVI,BGVI0xBGR,BGR,EU,100.000,85080,0,1320
BGVN,BGVN0xBGR,BGR,EU,100.000,85080,0,1320
CZOL,CZOL0xCZE,CZE,EU,100.000,85080,0,1320
CZPA,CZPA0xCZE,CZE,EU,100.000,85080,0,1320
DNAB,DNAB0xDNK,DNK,EU,100.000,85080,0,1320
DNBR,DNBR0xDNK,DNK,EU,100.000,85080,0,1320
DNHS,DNHS0xDNK,DNK,EU,100.000,85080,0,1320
DNSO,DNSO0xDNK,DNK,EU,100.000,85080,0,1320
DTBA,DTBA0xDEU,DEU,EU,100.000,85080,0,1320
DTBN,DTBN0xDEU,DEU,EU,100.000,85080,0,1320
DTBR,DTBR0xDEU,DEU,EU,100.000,85080,0,1320
DTD2,DTD20xDEU,DEU,EU,0.000,0,85080,1320
DTDD,DTDD0xDEU,DEU,EU,100.000,85080,0,1320
DTDT,DTDT0xDEU,DEU,EU,100.000,85080,0,1320
DTFB,DTFB0xDEU,DEU,EU,100.000,85080,0,1320
DTGB,DTGB0xDEU,DEU,EU,100.000,85080,0,1320
DTHL,DTHL0xDEU,DEU,EU,100.000,85080,0,1320
DTHR,DTHR0xDEU,DEU,EU,100.000,85080,0,1320
DTHT,DTHT0xDEU,DEU,EU,100.000,85080,0,1320
DTIF,DTIF0xDEU,DEU,EU,100.000,85080,0,1320
DTKM,DTKM0xDEU,DEU,EU,100.000,85080,0,1320
DTMB,DTMB0xDEU,DEU,EU,100.000,85080,0,1320
DTMH,DTMH0xDEU,DEU,EU,100.000,85080,0,1320
DTND,DTND0xDEU,DEU,EU,100.000,85080,0,1320
DTOB,DTOB0xDEU,DEU,EU,100.000,85080,0,1320
DTOS,DTOS0xDEU,DEU,EU,100.000,85080,0,1320
DTPW,DTPW0xDEU,DEU,EU,100.000,85080,0,1320
DTSW,DTSW0xDEU,DEU,EU,100.000,85080,0,1320
DTVD,DTVD0xDEU,DEU,EU,100.000,85080,0,1320
DTVR,DTVR0xDEU,DEU,EU,100.000,85080,0,1320
DTWL,DTWL0xDEU,DEU,EU,100.000,85080,0,1320
DTWR,DTWR0xDEU,DEU,EU,100.000,85080,0,1320
DTZU,DTZU0xDEU,DEU,EU,100.000,85080,0,1320
ESAC,ESAC0xESP,ESP,EU,100.000,85080,0,1320
ESBN,ESBN0xESP,ESP,EU,100.000,85080,0,1320
ESCB,ESCB0xESP,ESP,EU,100.000,85080,0,1320
ESCD,ESCD0xESP,ESP,EU,100.000,85080,0,1320
ESCM,ESCM0xESP,ESP,EU,100.000,85080,0,1320
ESCO,ESCO0xESP,ESP,EU,100.000,85080,0,1320
ESCU,ESCU0xESP,ESP,EU,100.000,85080,0,1320
ESEI,ESEI0xESP,ESP,EU,100.000,85080,0,1320
ESGC,ESGC0xESP,ESP,EU,100.000,85080,0,1320
ESGU,ESGU0xESP,ESP,EU,100.000,85080,0,1320
ESHU,ESHU0xESP,ESP,EU,100.000,85080,0,1320
ESME,ESME0xESP,ESP,EU,100.000,85080,0,1320
ESMG,ESMG0xESP,ESP,EU,100.000,85080,0,1320
ESML,ESML0xESP,ESP,EU,100.000,85080,0,1320
ESMR,ESMR0xESP,ESP,EU,100.000,85080,0,1320
ESMU,ESMU0xESP,ESP,EU,100.000,85080,0,1320
ESMZ,ESMZ0xESP,ESP,EU,100.000,85080,0,1320
