site,name,country,region,sar_avail_pct,sar_up_seconds,sar_down_seconds,sar_missing_seconds,path_status,path_uptime_seconds,path_downtime_seconds,cellular_uptime_s_estimated,mdm_events,last_mdm_minutes_ago
ATFS,ATFS0xAUT,AUT,EU,100.000,86460,0,0,stable,86460,0,0,0,
ATGD,ATGD0xAUT,AUT,EU,100.000,86460,0,0,stable,86460,0,0,0,
ATHB,ATHB0xAUT,AUT,EU,100.000,86460,0,0,stable,86460,0,0,0,
ATHL,ATHL0xAUT,AUT,EU,100.000,86460,0,0,stable,86460,0,0,0,
ATJB,ATJB0xAUT,AUT,EU,100.000,86460,0,0,stable,86460,0,0,0,
ATKA,ATKA0xAUT,AUT,EU,100.000,86460,0,0,stable,86460,0,0,0,
BGBL,BGBL0xBGR,BGR,EU,100.000,86460,0,0,brief-failover,86460,0,14400,1,959
BGBO,BGBO0xBGR,BGR,EU,100.000,86460,0,0,brief-failover,86460,0,11700,2,144
BGLO,BGLO0xBGR,BGR,EU,100.000,86460,0,0,brief-failover,86460,0,21540,2,154
BGPV,BGPV0xBGR,BGR,EU,100.000,86460,0,0,stable,86460,0,0,0,
BGVI,BGVI0xBGR,BGR,EU,100.000,86460,0,0,stable,86460,0,0,0,
BGVN,BGVN0xBGR,BGR,EU,100.000,86460,0,0,brief-failover,86460,0,20340,2,144
CZOL,CZOL0xCZE,CZE,EU,100.000,86460,0,0,stable,86460,0,0,0,
CZPA,CZPA0xCZE,CZE,EU,100.000,86460,0,0,stable,86460,0,0,0,
DNAB,DNAB0xDNK,DNK,EU,100.000,86460,0,0,stable,86460,0,0,0,
DNBR,DNBR0xDNK,DNK,EU,100.000,86460,0,0,stable,86460,0,0,0,
DNHS,DNHS0xDNK,DNK,EU,100.000,86460,0,0,stable,86460,0,0,0,
DNSO,DNSO0xDNK,DNK,EU,100.000,86460,0,0,stable,86460,0,0,0,
DTBA,DTBA0xDEU,DEU,EU,100.000,86460,0,0,stable,86460,0,0,0,
DTBN,DTBN0xDEU,DEU,EU,100.000,86460,0,0,stable,86460,0,0,0,
DTBR,DTBR0xDEU,DEU,EU,100.000,86460,0,0,stable,86460,0,0,0,
DTD2,DTD20xDEU,DEU,EU,0.000,0,86460,0,,,,,,
DTDD,DTDD0xDEU,DEU,EU,100.000,86460,0,0,stable,86460,0,0,0,
DTDT,DTDT0xDEU,DEU,EU,100.000,86460,0,0,,,,,,
DTFB,DTFB0xDEU,DEU,EU,100.000,86460,0,0,stable,86460,0,0,0,
DTGB,DTGB0xDEU,DEU,EU,100.000,86460,0,0,stable,86460,0,0,0,
DTHL,DTHL0xDEU,DEU,EU,100.000,86460,0,0,stable,86460,0,0,0,
DTHR,DTHR0xDEU,DEU,EU,100.000,86460,0,0,stable,86460,0,0,0,
DTHT,DTHT0xDEU,DEU,EU,100.000,86460,0,0,stable,86460,0,0,0,
DTIF,DTIF0xDEU,DEU,EU,100.000,86460,0,0,stable,86460,0,0,0,
DTKM,DTKM0xDEU,DEU,EU,100.000,86460,0,0,stable,86460,0,0,0,
DTMB,DTMB0xDEU,DEU,EU,100.000,86460,0,0,stable,86460,0,0,0,
DTMH,DTMH0xDEU,DEU,EU,100.000,86460,0,0,stable,86460,0,0,0,
DTND,DTND0xDEU,DEU,EU,100.000,86460,0,0,stable,86460,0,0,0,
DTOB,DTOB0xDEU,DEU,EU,100.000,86460,0,0,stable,86460,0,0,0,
DTOS,DTOS0xDEU,DEU,EU,100.000,86460,0,0,stable,86460,0,0,0,
DTPW,DTPW0xDEU,DEU,EU,100.000,86460,0,0,on-cellular-now,86460,0,6180,1,102
DTSW,DTSW0xDEU,DEU,EU,100.000,86460,0,0,stable,86460,0,0,0,
DTVD,DTVD0xDEU,DEU,EU,100.000,86460,0,0,stable,86460,0,0,0,
DTVR,DTVR0xDEU,DEU,EU,100.000,86460,0,0,stable,86460,0,0,0,
DTWL,DTWL0xDEU,DEU,EU,100.000,86460,0,0,stable,86460,0,0,0,
DTWR,DTWR0xDEU,DEU,EU,100.000,86460,0,0,stable,86460,0,0,0,
DTZU,DTZU0xDEU,DEU,EU,100.000,86460,0,0,stable,86460,0,0,0,
ESAC,ESAC0xESP,ESP,EU,100.000,86460,0,0,brief-failover,86460,0,14160,1,236
ESBN,ESBN0xESP,ESP,EU,100.000,86460,0,0,outage-no-cellular,86460,0,0,0,
ESCB,ESCB0xESP,ESP,EU,100.000,86460,0,0,brief-failover,86460,0,14160,1,236
ESCD,ESCD0xESP,ESP,EU,100.000,86460,0,0,brief-failover,86460,0,14160,1,236
ESCM,ESCM0xESP,ESP,EU,100.000,86460,0,0,stable,86460,0,0,0,
ESCO,ESCO0xESP,ESP,EU,100.000,86460,0,0,brief-failover,86460,0,14160,1,236
ESCU,ESCU0xESP,ESP,EU,100.000,86460,0,0,brief-failover,86460,0,14160,1,236
ESEI,ESEI0xESP,ESP,EU,100.000,86460,0,0,stable,86460,0,0,0,
ESGC,ESGC0xESP,ESP,EU,100.000,86460,0,0,brief-failover,86460,0,14160,1,236
ESGU,ESGU0xESP,ESP,EU,100.000,86460,0,0,brief-failover,86460,0,14160,1,236
ESHU,ESHU0xESP,ESP,EU,100.000,86460,0,0,brief-failover,86460,0,14160,1,236
ESME,ESME0xESP,ESP,EU,100.000,86460,0,0,brief-failover,86460,0,14160,1,236
ESMG,ESMG0xESP,ESP,EU,100.000,86460,0,0,stable,86460,0,0,0,
ESML,ESML0xESP,ESP,EU,100.000,86460,0,0,brief-failover,86460,0,14160,1,236
ESMR,ESMR0xESP,ESP,EU,100.000,86460,0,0,brief-failover,86460,0,14160,1,236
ESMU,ESMU0xESP,ESP,EU,100.000,86460,0,0,brief-failover,86460,0,14160,1,236
ESMZ,ESMZ0xESP,ESP,EU,100.000,86460,0,0,brief-failover,86460,0,14160,1,236
ESNM,ESNM0xESP,ESP,EU,100.000,86460,0,0,brief-failover,86460,0,14160,1,236
ESOV,ESOV0xESP,ESP,EU,100.000,86460,0,0,stable,86460,0,0,0,
ESPI,ESPI0xESP,ESP,EU,100.000,86460,0,0,,,,,,
ESSC,ESSC0xESP,ESP,EU,100.000,86460,0,0,brief-failover,86460,0,14160,1,236
ESSE,ESSE0xESP,ESP,EU,100.000,86460,0,0,brief-failover,86460,0,14160,1,236
ESTA,ESTA0xESP,ESP,EU,100.000,86460,0,0,stable,86460,0,0,0,
ESVA,ESVA0xESP,ESP,EU,78.001,67440,19020,0,flapping,67440,19020,8580,11,164
ESVI,ESVI0xESP,ESP,EU,100.000,86460,0,0,brief-failover,86460,0,14160,1,236
ESZA,ESZA0xESP,ESP,EU,100.000,86460,0,0,brief-failover,86460,0,14160,1,236
FIEK,FIEK0xFIN,FIN,EU,100.000,86460,0,0,stable,86460,0,0,0,
FIHA,FIHA0xFIN,FIN,EU,100.000,86460,0,0,stable,86460,0,0,0,
FIII,FIII0xFIN,FIN,EU,100.000,86460,0,0,stable,86460,0,0,0,
FIIV,FIIV0xFIN,FIN,EU,100.000,86460,0,0,stable,86460,0,0,0,
FIJM,FIJM0xFIN,FIN,EU,0.000,0,86460,0,offline-entire-window,0,86460,0,0,
FIJO,FIJO0xFIN,FIN,EU,100.000,86460,0,0,stable,86460,0,0,0,
FIKL,FIKL0xFIN,FIN,EU,100.000,86460,0,0,stable,86460,0,0,0,
FIKM,FIKM0xFIN,FIN,EU,100.000,86460,0,0,stable,86460,0,0,0,
FILA,FILA0xFIN,FIN,EU,100.000,86460,0,0,stable,86460,0,0,0,
FILV,FILV0xFIN,FIN,EU,100.000,86460,0,0,stable,86460,0,0,0,
FIMU,FIMU0xFIN,FIN,EU,100.000,86460,0,0,stable,86460,0,0,0,
FINA,FINA0xFIN,FIN,EU,100.000,86460,0,0,stable,86460,0,0,0,
FISU,FISU0xFIN,FIN,EU,100.000,86460,0,0,stable,86460,0,0,0,
FITA,FITA0xFIN,FIN,EU,100.000,86460,0,0,stable,86460,0,0,0,
FIUU,FIUU0xFIN,FIN,EU,100.000,86460,0,0,stable,86460,0,0,0,
FRAC,FRAC0xFRA,FRA,EU,100.000,86460,0,0,stable,86460,0,0,0,
FRAR,FRAR0xFRA,FRA,EU,100.000,86460,0,0,stable,86460,0,0,0,
FRBD,FRBD0xFRA,FRA,EU,100.000,86460,0,0,stable,86460,0,0,0,
FRBE,FRBE0xFRA,FRA,EU,55.239,47760,38700,0,outage-no-cellular,47760,38700,0,0,
