site,name,country,region,sar_avail_pct,sar_up_seconds,sar_down_seconds,sar_missing_seconds
ATFS,ATFS0xAUT,AUT,EU,100.000,515640,0,3120
ATGD,ATGD0xAUT,AUT,EU,100.000,515640,0,3120
ATHB,ATHB0xAUT,AUT,EU,100.000,515640,0,3120
ATHL,ATHL0xAUT,AUT,EU,100.000,515640,0,3120
ATJB,ATJB0xAUT,AUT,EU,100.000,515640,0,3120
ATKA,ATKA0xAUT,AUT,EU,100.000,515640,0,3120
BGBL,BGBL0xBGR,BGR,EU,100.000,515640,0,3120
BGBO,BGBO0xBGR,BGR,EU,100.000,515640,0,3120
BGLO,BGLO0xBGR,BGR,EU,100.000,515640,0,3120
BGPV,BGPV0xBGR,BGR,EU,100.000,515640,0,3120
BGVI,BGVI0xBGR,BGR,EU,100.000,515640,0,3120
BGVN,BGVN0xBGR,BGR,EU,100.000,515640,0,3120
CZOL,CZOL0xCZE,CZE,EU,100.000,515640,0,3120
CZPA,CZPA0xCZE,CZE,EU,100.000,515640,0,3120
DNAB,DNAB0xDNK,DNK,EU,100.000,515640,0,3120
DNBR,DNBR0xDNK,DNK,EU,100.000,515640,0,3120
DNHS,DNHS0xDNK,DNK,EU,100.000,515640,0,3120
DNSO,DNSO0xDNK,DNK,EU,100.000,515640,0,3120
DTBA,DTBA0xDEU,DEU,EU,100.000,515640,0,3120
DTBN,DTBN0xDEU,DEU,EU,100.000,515640,0,3120
DTBR,DTBR0xDEU,DEU,EU,100.000,515640,0,3120
DTD2,DTD20xDEU,DEU,EU,0.000,0,515640,3120
DTDD,DTDD0xDEU,DEU,EU,100.000,515640,0,3120
DTDT,DTDT0xDEU,DEU,EU,100.000,515640,0,3120
DTFB,DTFB0xDEU,DEU,EU,100.000,515640,0,3120
DTGB,DTGB0xDEU,DEU,EU,100.000,515640,0,3120
DTHL,DTHL0xDEU,DEU,EU,100.000,515640,0,3120
DTHR,DTHR0xDEU,DEU,EU,100.000,515640,0,3120
DTHT,DTHT0xDEU,DEU,EU,100.000,515640,0,3120
DTIF,DTIF0xDEU,DEU,EU,100.000,515640,0,3120
DTKM,DTKM0xDEU,DEU,EU,100.000,515640,0,3120
DTMB,DTMB0xDEU,DEU,EU,100.000,515640,0,3120
DTMH,DTMH0xDEU,DEU,EU,100.000,515640,0,3120
DTND,DTND0xDEU,DEU,EU,100.000,515640,0,3120
DTOB,DTOB0xDEU,DEU,EU,100.000,515640,0,3120
DTOS,DTOS0xDEU,DEU,EU,100.000,515640,0,3120
DTPW,DTPW0xDEU,DEU,EU,100.000,515640,0,3120
DTSW,DTSW0xDEU,DEU,EU,100.000,515640,0,3120
DTVD,DTVD0xDEU,DEU,EU,100.000,515640,0,3120
DTVR,DTVR0xDEU,DEU,EU,100.000,515640,0,3120
DTWL,DTWL0xDEU,DEU,EU,100.000,515640,0,3120
DTWR,DTWR0xDEU,DEU,EU,100.000,515640,0,3120
DTZU,DTZU0xDEU,DEU,EU,100.000,515640,0,3120
ESAC,ESAC0xESP,ESP,EU,100.000,515640,0,3120
ESAM,ESAM0xESP,ESP,EU,100.000,515640,0,3120
ESBN,ESBN0xESP,ESP,EU,100.000,515640,0,3120
ESCB,ESCB0xESP,ESP,EU,100.000,515640,0,3120
ESCD,ESCD0xESP,ESP,EU,100.000,515640,0,3120
ESCM,ESCM0xESP,ESP,EU,100.000,515640,0,3120
ESCO,ESCO0xESP,ESP,EU,100.000,515640,0,3120
ESCU,ESCU0xESP,ESP,EU,100.000,515640,0,3120
ESEI,ESEI0xESP,ESP,EU,100.000,515640,0,3120
ESGC,ESGC0xESP,ESP,EU,100.000,515640,0,3120
ESGU,ESGU0xESP,ESP,EU,100.000,515640,0,3120
ESHU,ESHU0xESP,ESP,EU,100.000,515640,0,3120
ESME,ESME0xESP,ESP,EU,99.884,515040,600,3120
ESMG,ESMG0xESP,ESP,EU,100.000,515640,0,3120
ESML,ESML0xESP,ESP,EU,100.000,515640,0,3120
ESMR,ESMR0xESP,ESP,EU,100.000,515640,0,3120
ESMU,ESMU0xESP,ESP,EU,100.000,515640,0,3120
ESMZ,ESMZ0xESP,ESP,EU,100.000,515640,0,3120
ESNM,ESNM0xESP,ESP,EU,100.000,515640,0,3120
ESOV,ESOV0xESP,ESP,EU,100.000,515640,0,3120
ESSC,ESSC0xESP,ESP,EU,100.000,515640,0,3120
ESSE,ESSE0xESP,ESP,EU,100.000,515640,0,3120
ESTA,ESTA0xESP,ESP,EU,100.000,515640,0,3120
ESVA,ESVA0xESP,ESP,EU,98.103,505860,9780,3120
ESVI,ESVI0xESP,ESP,EU,100.000,515640,0,3120
ESZA,ESZA0xESP,ESP,EU,100.000,515640,0,3120
FIEK,FIEK0xFIN,FIN,EU,100.000,515640,0,3120
FIHA,FIHA0xFIN,FIN,EU,100.000,515640,0,3120
FIII,FIII0xFIN,FIN,EU,100.000,515640,0,3120
FIIV,FIIV0xFIN,FIN,EU,100.000,515640,0,3120
FIJM,FIJM0xFIN,FIN,EU,0.000,0,515640,3120
FIJO,FIJO0xFIN,FIN,EU,100.000,515640,0,3120
FIKL,FIKL0xFIN,FIN,EU,100.000,515640,0,3120
FIKM,FIKM0xFIN,FIN,EU,100.000,515640,0,3120
FILA,FILA0xFIN,FIN,EU,100.000,515640,0,3120
FILV,FILV0xFIN,FIN,EU,100.000,515640,0,3120
FIMU,FIMU0xFIN,FIN,EU,100.000,515640,0,3120
FINA,FINA0xFIN,FIN,EU,100.000,515640,0,3120
FISU,FISU0xFIN,FIN,EU,100.000,515640,0,3120
FITA,FITA0xFIN,FIN,EU,100.000,515640,0,3120
FIUU,FIUU0xFIN,FIN,EU,100.000,515640,0,3120
FRAC,FRAC0xFRA,FRA,EU,100.000,515640,0,3120
FRAR,FRAR0xFRA,FRA,EU,100.000,515640,0,3120
FRBD,FRBD0xFRA,FRA,EU,100.000,515640,0,3120
FRBE,FRBE0xFRA,FRA,EU,100.000,515640,0,3120
FRBY,FRBY0xFRA,FRA,EU,100.000,515640,0,3120
FRCB,FRCB0xFRA,FRA,EU,100.000,515640,0,3120
FRCH,FRCH0xFRA,FRA,EU,100.000,515640,0,3120
FRCO,FRCO0xFRA,FRA,EU,100.000,515640,0,3120
FRDI,FRDI0xFRA,FRA,EU,100.000,515640,0,3120
FRDL,FRDL0xFRA,FRA,EU,100.000,515640,0,3120
FRDU,FRDU0xFRA,FRA,EU,100.000,515640,0,3120
FRGE,FRGE0xFRA,FRA,EU,100.000,515640,0,3120
FRHR,FRHR0xFRA,FRA,EU,100.000,515640,0,3120
FRHV,FRHV0xFRA,FRA,EU,100.000,515640,0,3120
FRLA,FRLA0xFRA,FRA,EU,100.000,515640,0,3120
FRLM,FRLM0xFRA,FRA,EU,100.000,515640,0,3120
FRLO,FRLO0xFRA,FRA,EU,100.000,515640,0,3120
FRMC,FRMC0xFRA,FRA,EU,100.000,515640,0,3120
FRMG,FRMG0xFRA,FRA,EU,100.000,515640,0,3120
FRMO,FRMO0xFRA,FRA,EU,100.000,515640,0,3120
FRNA,FRNA0xFRA,FRA,EU,100.000,515640,0,3120
FRNI,FRNI0xFRA,FRA,EU,100.000,515640,0,3120
FRPE,FRPE0xFRA,FRA,EU,100.000,515640,0,3120
FRPT,FRPT0xFRA,FRA,EU,100.000,515640,0,3120
FRRF,FRRF0xFRA,FRA,EU,100.000,515640,0,3120
FRRO,FRRO0xFRA,FRA,EU,100.000,515640,0,3120
FRSG,FRSG0xFRA,FRA,EU,100.000,515640,0,3120
FRVA,FRVA0xFRA,FRA,EU,99.872,514980,660,3120
GBCC,GBCC0xGBR,GBR,EU,100.000,515640,0,3120
GBCD,GBCD0xGBR,GBR,EU,100.000,515640,0,3120
GBCT,GBCT0xGBR,GBR,EU,100.000,515640,0,3120
GBDB,GBDB0xGBR,GBR,EU,100.000,515640,0,3120
GBGY,GBGY0xGBR,GBR,EU,100.000,515640,0,3120
GBKS,GBKS0xGBR,GBR,EU,100.000,515640,0,3120
GBLH,GBLH0xGBR,GBR,EU,100.000,515640,0,3120
GBLP,GBLP0xGBR,GBR,EU,100.000,515640,0,3120
GBNQ,GBNQ0xGBR,GBR,EU,100.000,515640,0,3120
GBOB,GBOB0xGBR,GBR,EU,100.000,515640,0,3120
GBPH,GBPH0xGBR,GBR,EU,100.000,515640,0,3120
GBSA,GBSA0xGBR,GBR,EU,100.000,515640,0,3120
GBSB,GBSB0xGBR,GBR,EU,100.000,515640,0,3120
GBTA,GBTA0xGBR,GBR,EU,100.000,515640,0,3120
GBUS,GBUS0xGBR,GBR,EU,100.000,515640,0,3120
GBWH,GBWH0xGBR,GBR,EU,100.000,515640,0,3120
GRCH,GRCH0xGRC,GRC,EU,100.000,515640,0,3120
GRFO,GRFO0xGRC,GRC,EU,100.000,515640,0,3120
GRHK,GRHK0xGRC,GRC,EU,100.000,515640,0,3120
GRIG,GRIG0xGRC,GRC,EU,100.000,515640,0,3120
GRKE,GRKE0xGRC,GRC,EU,100.000,515640,0,3120
GRKL,GRKL0xGRC,GRC,EU,100.000,515640,0,3120
GRKV,GRKV0xGRC,GRC,EU,100.000,515640,0,3120
GRLB,GRLB0xGRC,GRC,EU,100.000,515640,0,3120
GRNX,GRNX0xGRC,GRC,EU,100.000,515640,0,3120
GROS,GROS0xGRC,GRC,EU,100.000,515640,0,3120
GRPS,GRPS0xGRC,GRC,EU,100.000,515640,0,3120
GRRO,GRRO0xGRC,GRC,EU,100.000,515640,0,3120
GRSA,GRSA0xGRC,GRC,EU,100.000,515640,0,3120
GRTA,GRTA0xGRC,GRC,EU,99.628,513720,1920,3120
GRVO,GRVO0xGRC,GRC,EU,100.000,515640,0,3120
HRLA,HRLA0xHRV,HRV,EU,100.000,515640,0,3120
HRPL,HRPL0xHRV,HRV,EU,100.000,515640,0,3120
HRSB,HRSB0xHRV,HRV,EU,100.000,515640,0,3120
HRVV,HRVV0xHRV,HRV,EU,100.000,515640,0,3120
HUBU,HUBU0xHUN,HUN,EU,100.000,515640,0,3120
HUNY,HUNY0xHUN,HUN,EU,100.000,515640,0,3120
HUSZ,HUSZ0xHUN,HUN,EU,100.000,515640,0,3120
HUVE,HUVE0xHUN,HUN,EU,100.000,515640,0,3120
IRBA,IRBA0xIRL,IRL,EU,100.000,515640,0,3120
IRCO,IRCO0xIRL,IRL,EU,100.000,515640,0,3120
IRDU,IRDU0xIRL,IRL,EU,100.000,515640,0,3120
IREN,IREN0xIRL,IRL,EU,100.000,515640,0,3120
IRLD,IRLD0xIRL,IRL,EU,100.000,515640,0,3120
IRWA,IRWA0xIRL,IRL,EU,100.000,515640,0,3120
ITAL,ITAL0xITA,ITA,EU,99.639,513780,1860,3120
ITAN,ITAN0xITA,ITA,EU,100.000,515640,0,3120
ITAP,ITAP0xITA,ITA,EU,99.884,515040,600,3120
ITBI,ITBI0xITA,ITA,EU,99.884,515040,600,3120
ITCA,ITCA0xITA,ITA,EU,100.000,515640,0,3120
ITCI,ITCI0xITA,ITA,EU,100.000,515640,0,3120
ITDO,ITDO0xITA,ITA,EU,100.000,515640,0,3120
ITFO,ITFO0xITA,ITA,EU,100.000,515640,0,3120
ITLE,ITLE0xITA,ITA,EU,100.000,515640,0,3120
ITMA,ITMA0xITA,ITA,EU,100.000,515640,0,3120
ITMI,ITMI0xITA,ITA,EU,100.000,515640,0,3120
ITMS,ITMS0xITA,ITA,EU,46.986,242280,273360,3120
ITPT,ITPT0xITA,ITA,EU,100.000,515640,0,3120
ITRA,ITRA0xITA,ITA,EU,100.000,515640,0,3120
ITRG,ITRG0xITA,ITA,EU,100.000,515640,0,3120
ITRS,ITRS0xITA,ITA,EU,100.000,515640,0,3120
ITSA,ITSA0xITA,ITA,EU,100.000,515640,0,3120
ITSC,ITSC0xITA,ITA,EU,100.000,515640,0,3120
ITSL,ITSL0xITA,ITA,EU,0.000,0,515640,3120
ITSP,ITSP0xITA,ITA,EU,100.000,515640,0,3120
ITTE,ITTE0xITA,ITA,EU,100.000,515640,0,3120
ITTP,ITTP0xITA,ITA,EU,100.000,515640,0,3120
ITTR,ITTR0xITA,ITA,EU,100.000,515640,0,3120
ITVE,ITVE0xITA,ITA,EU,100.000,515640,0,3120
