site,name,country,region,sar_avail_pct,sar_up_seconds,sar_down_seconds,sar_missing_seconds,path_status,path_uptime_seconds,path_downtime_seconds,cellular_uptime_s_estimated,mdm_events,last_mdm_minutes_ago
ATFS,ATFS0xAUT,AUT,EU,99.977,2662920,600,16620,on-cellular-now,2662920,600,1306076,113,6
ATGD,ATGD0xAUT,AUT,EU,99.977,2662920,600,16620,stuck-degraded,2662920,600,259200,20,2461
ATHB,ATHB0xAUT,AUT,EU,100.000,2663520,0,16620,stuck-degraded,2663520,0,748800,59,6389
ATHL,ATHL0xAUT,AUT,EU,99.977,2662920,600,16620,outage-no-cellular,2662920,600,0,0,
ATJB,ATJB0xAUT,AUT,EU,99.977,2662920,600,16620,stuck-degraded,2662920,600,532800,41,7192
ATKA,ATKA0xAUT,AUT,EU,100.000,2663520,0,16620,stuck-degraded,2663520,0,388800,30,9067
BGBL,BGBL0xBGR,BGR,EU,99.399,2647500,16020,16620,stuck-degraded,2647500,16020,135764,11,4380
BGBO,BGBO0xBGR,BGR,EU,99.977,2662920,600,16620,stuck-degraded,2662920,600,86400,6,23796
BGLO,BGLO0xBGR,BGR,EU,100.000,2663520,0,16620,outage-no-cellular,2663520,0,0,0,
BGPV,BGPV0xBGR,BGR,EU,100.000,2663520,0,16620,brief-failover,2663520,0,14400,1,27009
BGVI,BGVI0xBGR,BGR,EU,100.000,2663520,0,16620,brief-failover,2663520,0,14400,1,38391
BGVN,BGVN0xBGR,BGR,EU,100.000,2663520,0,16620,brief-failover,2663520,0,43200,3,5987
CZOL,CZOL0xCZE,CZE,EU,99.975,2662860,660,16620,stuck-degraded,2662860,660,1955152,159,2015
CZPA,CZPA0xCZE,CZE,EU,100.000,2663520,0,16620,stuck-degraded,2663520,0,259200,20,27009
DNAB,DNAB0xDNK,DNK,EU,99.975,2662860,660,16620,stuck-degraded,2662860,660,2662860,319,5184
DNBR,DNBR0xDNK,DNK,EU,99.975,2662860,660,16620,stuck-degraded,2662860,660,2662860,390,4782
DNHS,DNHS0xDNK,DNK,EU,100.000,2663520,0,16620,stuck-degraded,2663520,0,2663520,220,5273
