site,name,country,region,sar_avail_pct,sar_up_seconds,sar_down_seconds,sar_missing_seconds,path_status,path_uptime_seconds,path_downtime_seconds,cellular_uptime_s_estimated,mdm_events,last_mdm_minutes_ago
ABCG,ABCG0xCAN,CAN,NA,100.000,2663520,0,16620,stuck-degraded,2663520,0,86400,7,6701
ALBH,ALBH0xUSA,USA,NA,99.977,2662920,600,16620,outage-no-cellular,2662920,600,0,0,
ALGR,ALGR0xUSA,USA,NA,100.000,2663520,0,16620,outage-no-cellular,2663520,0,0,0,
ARAK,ARAK0xUSA,USA,NA,100.000,2663520,0,16620,brief-failover,2663520,0,28800,2,24331
ARCB,ARCB0xUSA,USA,NA,100.000,2663520,0,16620,outage-no-cellular,2663520,0,0,0,
ARFM,ARFM0xUSA,USA,NA,100.000,2663520,0,16620,outage-no-cellular,2663520,0,0,0,
AZCH,AZCH0xUSA,USA,NA,99.977,2662920,600,16620,outage-no-cellular,2662920,600,0,0,
AZCO,AZCO0xUSA,USA,NA,100.000,2663520,0,16620,stable,2663520,0,0,0,
AZDL,AZDL0xUSA,USA,NA,100.000,2663520,0,16620,stable,2663520,0,0,0,
AZGB,AZGB0xUSA,USA,NA,100.000,2663520,0,16620,outage-no-cellular,2663520,0,0,0,
AZHB,AZHB0xUSA,USA,NA,99.977,2662920,600,16620,outage-no-cellular,2662920,600,0,0,
AZPG,AZPG0xUSA,USA,NA,99.977,2662920,600,16620,outage-no-cellular,2662920,600,0,0,
AZST,AZST0xUSA,USA,NA,98.928,2634960,28560,16620,flapping,2634960,28560,58404,5,9959
AZWC,AZWC0xUSA,USA,NA,100.000,2663520,0,16620,outage-no-cellular,2663520,0,0,0,
CAAA,CAAA0xUSA,USA,NA,100.000,2663520,0,16620,stable,2663520,0,0,0,
CAAS,CAAS0xUSA,USA,NA,100.000,2663520,0,16620,stable,2663520,0,0,0,
CABE,CABE0xUSA,USA,NA,100.000,2663520,0,16620,stable,2663520,0,0,0,
CABS,CABS0XUSA,USA,NA,99.878,2660280,3240,16620,outage-no-cellular,2660280,3240,0,0,
CABW,CABW0xUSA,USA,NA,100.000,2663520,0,16620,stable,2663520,0,0,0,
CACS,CACS0xUSA,USA,NA,100.000,2663520,0,16620,stable,2663520,0,0,0,
CACY,CACY0xUSA,USA,NA,100.000,2663520,0,16620,stable,2663520,0,0,0,
CADA,CADA0xUSA,USA,NA,100.000,2663520,0,16620,stable,2663520,0,0,0,
CADV,CADV0xUSA,USA,NA,0.000,0,2663520,16620,offline-entire-window,0,2663520,0,0,
CAEA,CAEA0xUSA,USA,NA,99.977,2662920,600,16620,outage-no-cellular,2662920,600,0,0,
CAFR,CAFR0xUSA,USA,NA,99.421,2648100,15420,16620,outage-no-cellular,2648100,15420,0,0,
CAFT,CAFT0xUSA,USA,NA,100.000,2663520,0,16620,stable,2663520,0,0,0,
CAGU,CAGU0xUSA,USA,NA,100.000,2663520,0,16620,stable,2663520,0,0,0,
CAHM,CAHM0xUSA,USA,NA,99.836,2659140,4380,16620,outage-no-cellular,2659140,4380,0,0,
CAIO,CAIO0xUSA,USA,NA,100.000,2663520,0,16620,brief-failover,2663520,0,14400,1,13753
CALK,CALK0xUSA,USA,NA,100.000,2663520,0,16620,outage-no-cellular,2663520,0,0,0,
CALV,CALV0xUSA,USA,NA,100.000,2663520,0,16620,outage-no-cellular,2663520,0,0,0,
CAMH,CAMH0xUSA,USA,NA,100.000,2663520,0,16620,outage-no-cellular,2663520,0,0,0,
CAMN,CAMN0xUSA,USA,NA,95.490,2543400,120120,16620,outage-no-cellular,2543400,120120,0,0,
CAND,CAND0xUSA,USA,NA,100.000,2663520,0,16620,stuck-degraded,2663520,0,72000,5,2149
CAOC,CAOC0xUSA,USA,NA,99.953,2662260,1260,16620,stuck-degraded,2662260,1260,129600,9,3577
CARD,CARD0xUSA,USA,NA,100.000,2663520,0,16620,stable,2663520,0,0,0,
CASA,CASA0xUSA,USA,NA,99.977,2662920,600,16620,outage-no-cellular,2662920,600,0,0,
CASE,CASE0xUSA,USA,NA,99.558,2651760,11760,16620,outage-no-cellular,2651760,11760,0,0,
CASJ,CASJ0xUSA,USA,NA,100.000,2663520,0,16620,stable,2663520,0,0,0,
CASO,CASO0xUSA,USA,NA,100.000,2663520,0,16620,outage-no-cellular,2663520,0,0,0,
CAST,CAST0xUSA,USA,NA,100.000,2663520,0,16620,brief-failover,2663520,0,14400,1,17011
CAVA,CAVA0xUSA,USA,NA,100.000,2663520,0,16620,stable,2663520,0,0,0,
CAWD,CAWD0xUSA,USA,NA,100.000,2663520,0,16620,outage-no-cellular,2663520,0,0,0,
CAWI,CAWI0xUSA,USA,NA,100.000,2663520,0,16620,stable,2663520,0,0,0,
CAWS,CAWS0xUSA,USA,NA,100.000,2663520,0,16620,stable,2663520,0,0,0,
CAWY,CAWY0xUSA,USA,NA,100.000,2663520,0,16620,outage-no-cellular,2663520,0,0,0,
CAYA,CAYA0xUSA,USA,NA,100.000,2663520,0,16620,stable,2663520,0,0,0,
COFO,COFO0xUSA,USA,NA,100.000,2663520,0,16620,outage-no-cellular,2663520,0,0,0,
COFT,COFT0xUSA,USA,NA,99.977,2662920,600,16620,outage-no-cellular,2662920,600,0,0,
COLA,COLA0xUSA,USA,NA,99.903,2660940,2580,16620,outage-no-cellular,2660940,2580,0,0,
COLM,COLM0xUSA,USA,NA,99.977,2662920,600,16620,outage-no-cellular,2662920,600,0,0,
COLV,COLV0xUSA,USA,NA,100.000,2663520,0,16620,stable,2663520,0,0,0,
COPU,COPU0xUSA,USA,NA,99.977,2662920,600,16620,brief-failover,2662920,600,2680,1,26697
CORI,CORI0xUSA,USA,NA,99.977,2662920,600,16620,outage-no-cellular,2662920,600,0,0,
FLBR,FLBR0xUSA,USA,NA,100.000,2663520,0,16620,stable,2663520,0,0,0,
FLCK,FLCK0xUSA,USA,NA,100.000,2663520,0,16620,stable,2663520,0,0,0,
FLHO,FLHO0xUSA,USA,NA,100.000,2663520,0,16620,stable,2663520,0,0,0,
FLLL,FLLL0xUSA,USA,NA,99.910,2661120,2400,16620,outage-no-cellular,2661120,2400,0,0,
