site,name,country,region,sar_avail_pct,sar_up_seconds,sar_down_seconds,sar_missing_seconds,path_status,path_uptime_seconds,path_downtime_seconds,cellular_uptime_s_estimated,mdm_events,last_mdm_minutes_ago
TWBS,TWBS0xTWN,TWN,AP,100.000,2663520,0,16620,outage-no-cellular,2663520,0,0,0,
TWDL,TWDL0xTWN,TWN,AP,100.000,2663520,0,16620,outage-no-cellular,2663520,0,0,0,
TWDS,TWDS0xTWN,TWN,AP,100.000,2663520,0,16620,outage-no-cellular,2663520,0,0,0,
TWFL,TWFL0xTWN,TWN,AP,100.000,2663520,0,16620,brief-failover,2663520,0,1800,1,14155
TWFX,TWFX0xTWN,TWN,AP,100.000,2663520,0,16620,outage-no-cellular,2663520,0,0,0,
TWGL,TWGL0xTWN,TWN,AP,100.000,2663520,0,16620,outage-no-cellular,2663520,0,0,0,
TWGY,TWGY0xTWN,TWN,AP,99.840,2659260,4260,16620,outage-no-cellular,2659260,4260,0,0,
TWHC,TWHC0xTWN,TWN,AP,100.000,2663520,0,16620,outage-no-cellular,2663520,0,0,0,
TWIX,TWIX0xTWN,TWN,AP,100.000,2663520,0,16620,outage-no-cellular,2663520,0,0,0,
TWJS,TWJS0xTWN,TWN,AP,100.000,2663520,0,16620,outage-no-cellular,2663520,0,0,0,
TWPH,TWPH0xTWN,TWN,AP,100.000,2663520,0,16620,stuck-degraded,2663520,0,10800,6,18618
TWPL,TWPL0xTWN,TWN,AP,100.000,2663520,0,16620,outage-no-cellular,2663520,0,0,0,
TWPZ,TWPZ0xTWN,TWN,AP,100.000,2663520,0,16620,outage-no-cellular,2663520,0,0,0,
TWTT,TWTT0xTWN,TWN,AP,100.000,2663520,0,16620,outage-no-cellular,2663520,0,0,0,
TWTX,TWTX0xTWN,TWN,AP,100.000,2663520,0,16620,brief-failover,2663520,0,1800,1,27143
TWTY,TWTY0xTWN,TWN,AP,99.529,2650980,12540,16620,brief-failover,2650980,12540,1800,1,35891
TWXT,TWXT0xTWN,TWN,AP,100.000,2663520,0,16620,outage-no-cellular,2663520,0,0,0,
TWZS,TWZS0xTWN,TWN,AP,100.000,2663520,0,16620,outage-no-cellular,2663520,0,0,0,
