site,name,country,region,sar_avail_pct,sar_up_seconds,sar_down_seconds,sar_missing_seconds,path_status,path_uptime_seconds,path_downtime_seconds,cellular_uptime_s_estimated,mdm_events,last_mdm_minutes_ago
TABB,TABB0xCAN,CAN,NA,100.000,2576520,0,16980,stable,2576520,0,0,0,
TABC,TABC0xCAN,CAN,NA,100.000,2576520,0,16980,stable,2576520,0,0,0,
TABE,TABE0xCAN,CAN,NA,100.000,2576520,0,16980,stable,2576520,0,0,0,
TABF,TABF0xCAN,CAN,NA,100.000,2576520,0,16980,stable,2576520,0,0,0,
TABG,TABG0xCAN,CAN,NA,100.000,2576520,0,16980,stable,2576520,0,0,0,
TABH,TABH0xCAN,CAN,NA,100.000,2576520,0,16980,stable,2576520,0,0,0,
TABO,TABO0xCAN,CAN,NA,100.000,2576520,0,16980,stable,2576520,0,0,0,
TABP,TABP0xCAN,CAN,NA,100.000,2576520,0,16980,stable,2576520,0,0,0,
TABW,TABW0xCAN,CAN,NA,100.000,2576520,0,16980,outage-no-cellular,2576520,0,0,0,
TBC3,TBC30xCAN,CAN,NA,99.830,2572140,4380,16980,outage-no-cellular,2572140,4380,0,0,
TBCA,TBCA0xCAN,CAN,NA,100.000,2576520,0,16980,stable,2576520,0,0,0,
TBCB,TBCB0xCAN,CAN,NA,99.977,2575920,600,16980,outage-no-cellular,2575920,600,0,0,
TBCC,TBCC0xCAN,CAN,NA,100.000,2576520,0,16980,stable,2576520,0,0,0,
TBCE,TBCE0xCAN,CAN,NA,100.000,2576520,0,16980,stable,2576520,0,0,0,
TBCG,TBCG0xCAN,CAN,NA,100.000,2576520,0,16980,stable,2576520,0,0,0,
TBCH,TBCH0xCAN,CAN,NA,100.000,2576520,0,16980,stable,2576520,0,0,0,
TBCJ,TBCJ0xCAN,CAN,NA,100.000,2576520,0,16980,stable,2576520,0,0,0,
TBCK,TBCK0xCAN,CAN,NA,100.000,2576520,0,16980,stable,2576520,0,0,0,
TBCL,TBCL0xCAN,CAN,NA,99.418,2561520,15000,16980,outage-no-cellular,2561520,15000,0,0,
TBCM,TBCM0xCAN,CAN,NA,100.000,2576520,0,16980,stable,2576520,0,0,0,
TBCP,TBCP0xCAN,CAN,NA,100.000,2576520,0,16980,outage-no-cellular,2576520,0,0,0,
TBCS,TBCS0xCAN,CAN,NA,100.000,2576520,0,16980,outage-no-cellular,2576520,0,0,0,
TBCT,TBCT0xCAN,CAN,NA,100.000,2576520,0,16980,stable,2576520,0,0,0,
TBCV,TBCV0xCAN,CAN,NA,98.810,2545860,30660,16980,outage-no-cellular,2545860,30660,0,0,
TBCW,TBCW0xCAN,CAN,NA,100.000,2576520,0,16980,stable,2576520,0,0,0,
TBCZ,TBCZ0xCAN,CAN,NA,99.977,2575920,600,16980,outage-no-cellular,2575920,600,0,0,
TMBK,TMBK0xCAN,CAN,NA,100.000,2576520,0,16980,stable,2576520,0,0,0,
TMBS,TMBS0xCAN,CAN,NA,100.000,2576520,0,16980,stable,2576520,0,0,0,
TMBW,TMBW0xCAN,CAN,NA,100.000,2576520,0,16980,stable,2576520,0,0,0,
TNBM,TNBM0xCAN,CAN,NA,100.000,2576520,0,16980,outage-no-cellular,2576520,0,0,0,
TNBS,TNBS0xCAN,CAN,NA,100.000,2576520,0,16980,stable,2576520,0,0,0,
TNLB,TNLB0xCAN,CAN,NA,100.000,2576520,0,16980,stable,2576520,0,0,0,
TNLC,TNLC0xCAN,CAN,NA,100.000,2576520,0,16980,stable,2576520,0,0,0,
TNLJ,TNLJ0xCAN,CAN,NA,99.977,2575920,600,16980,outage-no-cellular,2575920,600,0,0,
TNLV,TNLV0xCAN,CAN,NA,99.478,2563080,13440,16980,outage-no-cellular,2563080,13440,0,0,
TNSG,TNSG0xCAN,CAN,NA,100.000,2576520,0,16980,stable,2576520,0,0,0,
TNSP,TNSP0xCAN,CAN,NA,100.000,2576520,0,16980,stuck-degraded,2576520,0,144000,10,38404
TNSY,TNSY0xCAN,CAN,NA,100.000,2576520,0,16980,stable,2576520,0,0,0,
TONA,TONA0xCAN,CAN,NA,99.513,2563980,12540,16980,stuck-degraded,2563980,12540,147120,11,38361
TONE,TONE0xCAN,CAN,NA,99.243,2557020,19500,16980,outage-no-cellular,2557020,19500,0,0,
TONF,TONF0xCAN,CAN,NA,99.881,2573460,3060,16980,outage-no-cellular,2573460,3060,0,0,
TONG,TONG0xUSA,USA,NA,100.000,2576520,0,16980,stable,2576520,0,0,0,
TONH,TONH0xCAN,CAN,NA,100.000,2576520,0,16980,stable,2576520,0,0,0,
TONI,TONI0xCAN,CAN,NA,100.000,2576520,0,16980,stable,2576520,0,0,0,
TONL,TONL0xCAN,CAN,NA,100.000,2576520,0,16980,stable,2576520,0,0,0,
TONM,TONM0xCAN,CAN,NA,61.203,1576920,999600,16980,stable,1576920,999600,0,0,
TONN,TONN0xCAN,CAN,NA,100.000,2576520,0,16980,stable,2576520,0,0,0,
TONO,TONO0xCAN,CAN,NA,100.000,2576520,0,16980,stable,2576520,0,0,0,
TONR,TONR0xCAN,CAN,NA,99.346,2559660,16860,16980,outage-no-cellular,2559660,16860,0,0,
TONS,TONS0xCAN,CAN,NA,99.977,2575920,600,16980,outage-no-cellular,2575920,600,0,0,
TONW,TONW0xCAN,CAN,NA,100.000,2576520,0,16980,stable,2576520,0,0,0,
TOSM,TOSM0xCAN,CAN,NA,100.000,2576520,0,16980,outage-no-cellular,2576520,0,0,0,
TPEE,TPEE0xCAN,CAN,NA,98.172,2529420,47100,16980,outage-no-cellular,2529420,47100,0,0,
TQC3,TQC30xCAN,CAN,NA,100.000,2576520,0,16980,stable,2576520,0,0,0,
TQCA,TQCA0xCAN,CAN,NA,100.000,2576520,0,16980,stable,2576520,0,0,0,
TQCB,TQCB0xCAN,CAN,NA,100.000,2576520,0,16980,stable,2576520,0,0,0,
TQCC,TQCC0xCAN,CAN,NA,100.000,2576520,0,16980,stable,2576520,0,0,0,
TQCG,TQCG0xCAN,CAN,NA,100.000,2576520,0,16980,stable,2576520,0,0,0,
TQCN,TQCN0xCAN,CAN,NA,100.000,2576520,0,16980,stable,2576520,0,0,0,
TQCO,TQCO0xCAN,CAN,NA,100.000,2576520,0,16980,stable,2576520,0,0,0,
TQCR,TQCR0xCAN,CAN,NA,100.000,2576520,0,16980,stable,2576520,0,0,0,
TSKA,TSKA0xCAN,CAN,NA,100.000,2576520,0,16980,stable,2576520,0,0,0,
TSKB,TSKB0xCAN,CAN,NA,100.000,2576520,0,16980,outage-no-cellular,2576520,0,0,0,
TSKR,TSKR0xCAN,CAN,NA,100.000,2576520,0,16980,stable,2576520,0,0,0,
TSKS,TSKS0xCAN,CAN,NA,99.928,2574660,1860,16980,outage-no-cellular,2574660,1860,0,0,
TSKV,TSKV0xCAN,CAN,NA,100.000,2576520,0,16980,stable,2576520,0,0,0,
TSKY,TSKY0xCAN,CAN,NA,99.905,2574060,2460,16980,outage-no-cellular,2574060,2460,0,0,
