site,name,country,region,sar_avail_pct,sar_up_seconds,sar_down_seconds,sar_missing_seconds,path_status,path_uptime_seconds,path_downtime_seconds,cellular_uptime_s_estimated,mdm_events,last_mdm_minutes_ago
JPAB,JPAB0xJPN,JPN,AP,99.974,2575860,660,16980,outage-no-cellular,2575860,660,0,0,
JPAG,JPAG0xJPN,JPN,AP,100.000,2576520,0,16980,stable,2576520,0,0,0,
JPAK,JPAK0xJPN,JPN,AP,100.000,2576520,0,16980,stable,2576520,0,0,0,
JPBK,JPBK0xJPN,JPN,AP,100.000,2576520,0,16980,stable,2576520,0,0,0,
JPCH,JPCH0xJPN,JPN,AP,99.953,2575320,1200,16980,outage-no-cellular,2575320,1200,0,0,
JPES,JPES0xJPN,JPN,AP,100.000,2576520,0,16980,outage-no-cellular,2576520,0,0,0,
JPFH,JPFH0xJPN,JPN,AP,100.000,2576520,0,16980,stable,2576520,0,0,0,
JPFJ,JPFJ0xJPN,JPN,AP,95.357,2456880,119640,16980,outage-no-cellular,2456880,119640,0,0,
JPGA,JPGA0xJPN,JPN,AP,100.000,2576520,0,16980,stable,2576520,0,0,0,
JPGY,JPGY0xJPN,JPN,AP,99.923,2574540,1980,16980,outage-no-cellular,2574540,1980,0,0,
JPHG,JPHG0xJPN,JPN,AP,100.000,2576520,0,16980,stable,2576520,0,0,0,
JPHJ,JPHJ0xJPN,JPN,AP,99.951,2575260,1260,16980,outage-no-cellular,2575260,1260,0,0,
JPHZ,JPHZ0xJPN,JPN,AP,100.000,2576520,0,16980,stable,2576520,0,0,0,
JPIK,JPIK0xJPN,JPN,AP,100.000,2576520,0,16980,stable,2576520,0,0,0,
JPJT,JPJT0xJPN,JPN,AP,100.000,2576520,0,16980,stable,2576520,0,0,0,
JPKC,JPKC0xJPN,JPN,AP,99.928,2574660,1860,16980,outage-no-cellular,2574660,1860,0,0,
JPKI,JPKI0xJPN,JPN,AP,97.506,2512260,64260,16980,outage-no-cellular,2512260,64260,0,0,
JPKM,JPKM0xJPN,JPN,AP,100.000,2576520,0,16980,stable,2576520,0,0,0,
JPKO,JPKO0xJPN,JPN,AP,100.000,2576520,0,16980,stable,2576520,0,0,0,
JPKR,JPKR0xJPN,JPN,AP,100.000,2576520,0,16980,stable,2576520,0,0,0,
