account,site,name,country,region,sar_avail_pct,sar_up_seconds,sar_down_seconds,sar_missing_seconds,path_status,path_uptime_seconds,path_downtime_seconds,cellular_uptime_s_estimated,mdm_events,last_mdm_minutes_ago
ALL,ABCG,ABCG0xCAN,CAN,NA,100.000,86460,0,0,stable,86460,0,0,0,
ALL,ALBH,ALBH0xUSA,USA,NA,100.000,86460,0,0,stable,86460,0,0,0,
ALL,ALGR,ALGR0xUSA,USA,NA,100.000,86460,0,0,stable,86460,0,0,0,
ALL,ARAK,ARAK0xUSA,USA,NA,100.000,86460,0,0,stable,86460,0,0,0,
ALL,ARCB,ARCB0xUSA,USA,NA,100.000,86460,0,0,stable,86460,0,0,0,
ALL,ARFM,ARFM0xUSA,USA,NA,100.000,86460,0,0,stable,86460,0,0,0,
ALL,ATFS,ATFS0xAUT,AUT,EU,100.000,86460,0,0,stable,86460,0,0,0,
ALL,ATGD,ATGD0xAUT,AUT,EU,100.000,86460,0,0,stable,86460,0,0,0,
ALL,ATHB,ATHB0xAUT,AUT,EU,100.000,86460,0,0,stable,86460,0,0,0,
ALL,ATHL,ATHL0xAUT,AUT,EU,100.000,86460,0,0,stable,86460,0,86460,0,
ALL,ATJB,ATJB0xAUT,AUT,EU,100.000,86460,0,0,stable,86460,0,0,0,
ALL,ATKA,ATKA0xAUT,AUT,EU,100.000,86460,0,0,stable,86460,0,0,0,
ALL,AZCH,AZCH0xUSA,USA,NA,100.000,86460,0,0,stable,86460,0,0,0,
ALL,AZCO,AZCO0xUSA,USA,NA,100.000,86460,0,0,stable,86460,0,0,0,
ALL,AZDL,AZDL0xUSA,USA,NA,100.000,86460,0,0,stable,86460,0,0,0,
ALL,AZGB,AZGB0xUSA,USA,NA,100.000,86460,0,0,stable,86460,0,0,0,
ALL,AZHB,AZHB0xUSA,USA,NA,98.543,85200,1260,0,stable,85200,1260,0,0,
ALL,AZPG,AZPG0xUSA,USA,NA,100.000,86460,0,0,stable,86460,0,0,0,
ALL,AZST,AZST0xUSA,USA,NA,100.000,86460,0,0,stable,86460,0,0,0,
ALL,AZWC,AZWC0xUSA,USA,NA,100.000,86460,0,0,stable,86460,0,0,0,
ALL,BGBL,BGBL0xBGR,BGR,EU,100.000,86460,0,0,stable,86460,0,0,0,
ALL,BGBO,BGBO0xBGR,BGR,EU,100.000,86460,0,0,stable,86460,0,0,0,
ALL,BGLO,BGLO0xBGR,BGR,EU,100.000,86460,0,0,stable,86460,0,0,0,
ALL,BGPV,BGPV0xBGR,BGR,EU,100.000,86460,0,0,stable,86460,0,0,0,
ALL,BGVI,BGVI0xBGR,BGR,EU,100.000,86460,0,0,stable,86460,0,0,0,
ALL,BGVN,BGVN0xBGR,BGR,EU,100.000,86460,0,0,stable,86460,0,14400,0,
ALL,CAAA,CAAA0xUSA,USA,NA,100.000,86460,0,0,stable,86460,0,0,0,
ALL,CAAS,CAAS0xUSA,USA,NA,100.000,86460,0,0,stable,86460,0,0,0,
ALL,CABE,CABE0xUSA,USA,NA,100.000,86460,0,0,stable,86460,0,0,0,
ALL,CABS,CABS0XUSA,USA,NA,100.000,86460,0,0,stable,86460,0,0,0,
ALL,CABW,CABW0xUSA,USA,NA,100.000,86460,0,0,stable,86460,0,0,0,
ALL,CACS,CACS0xUSA,USA,NA,100.000,86460,0,0,stable,86460,0,0,0,
ALL,CACY,CACY0xUSA,USA,NA,100.000,86460,0,0,stable,86460,0,0,0,
ALL,CADA,CADA0xUSA,USA,NA,100.000,86460,0,0,stable,86460,0,0,0,
ALL,CAEA,CAEA0xUSA,USA,NA,100.000,86460,0,0,stable,86460,0,0,0,
ALL,CAEM,CAEM0xUSA,USA,NA,100.000,86460,0,0,stable,86460,0,0,0,
ALL,CAFR,CAFR0xUSA,USA,NA,100.000,86460,0,0,stable,86460,0,0,0,
ALL,CAFT,CAFT0xUSA,USA,NA,100.000,86460,0,0,stable,86460,0,0,0,
ALL,CAGU,CAGU0xUSA,USA,NA,100.000,86460,0,0,stable,86460,0,0,0,
ALL,CAHM,CAHM0xUSA,USA,NA,100.000,86460,0,0,stable,86460,0,0,0,
ALL,CAIO,CAIO0xUSA,USA,NA,100.000,86460,0,0,stable,86460,0,0,0,
ALL,CALK,CALK0xUSA,USA,NA,100.000,86460,0,0,stable,86460,0,0,0,
ALL,CALV,CALV0xUSA,USA,NA,100.000,86460,0,0,stable,86460,0,0,0,
ALL,CAMH,CAMH0xUSA,USA,NA,100.000,86460,0,0,stable,86460,0,0,0,
ALL,CAMN,CAMN0xUSA,USA,NA,100.000,86460,0,0,stable,86460,0,0,0,
ALL,CAND,CAND0xUSA,USA,NA,100.000,86460,0,0,stable,86460,0,0,0,
ALL,CAOC,CAOC0xUSA,USA,NA,100.000,86460,0,0,stable,86460,0,14400,0,
ALL,CARD,CARD0xUSA,USA,NA,100.000,86460,0,0,stable,86460,0,0,0,
ALL,CASA,CASA0xUSA,USA,NA,100.000,86460,0,0,stable,86460,0,0,0,
ALL,CASE,CASE0xUSA,USA,NA,100.000,86460,0,0,stable,86460,0,0,0,
ALL,CASJ,CASJ0xUSA,USA,NA,100.000,86460,0,0,stable,86460,0,0,0,
ALL,CASO,CASO0xUSA,USA,NA,100.000,86460,0,0,stable,86460,0,0,0,
ALL,CAST,CAST0xUSA,USA,NA,100.000,86460,0,0,stable,86460,0,14400,0,
ALL,CAVA,CAVA0xUSA,USA,NA,100.000,86460,0,0,stable,86460,0,0,0,
ALL,CAWD,CAWD0xUSA,USA,NA,100.000,86460,0,0,stable,86460,0,0,0,
ALL,CAWI,CAWI0xUSA,USA,NA,100.000,86460,0,0,stable,86460,0,0,0,
ALL,CAWS,CAWS0xUSA,USA,NA,67.037,57960,28500,0,stable,57960,28500,0,0,
ALL,CAWY,CAWY0xUSA,USA,NA,100.000,86460,0,0,stable,86460,0,0,0,
ALL,CAYA,CAYA0xUSA,USA,NA,100.000,86460,0,0,stable,86460,0,0,0,
ALL,COFO,COFO0xUSA,USA,NA,100.000,86460,0,0,stable,86460,0,0,0,
ALL,COFT,COFT0xUSA,USA,NA,100.000,86460,0,0,stable,86460,0,0,0,
ALL,COLA,COLA0xUSA,USA,NA,100.000,86460,0,0,stable,86460,0,0,0,
ALL,COLM,COLM0xUSA,USA,NA,100.000,86460,0,0,stable,86460,0,0,0,
ALL,COLV,COLV0xUSA,USA,NA,100.000,86460,0,0,stable,86460,0,0,0,
